Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,oppelo,wins,losses,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,Ethnicity
Alex Stiebling,0,1,984,1,0,0,1000,0,1,2000,0,0,0.4,-5,3.8,-30,0,-2,0.1,-2,0,0,0,-9.4,0.3,-4,0.1,-1,0,0,0,0,0.1,0,0.3,-5,0.057142857,0.097744361,0.526315789,0.09047619,0.032967033,0.128205128,0,-0.5,0.5,0.06,0.188235294,0.588235294,0.05,-0.5,0,0,0,1,0,0,1,0.05,-0.5,0,0.1,0.529411765,0.529411765,European
Daron Cruickshank,1985,13,990.3979389,3,0,0,13110.20626,6,6,374,26.64499914,189,2634.126802,-3814,3053.569367,-6816,118.1347978,604,7.89082774,-984,0.133333333,1,80.65410077,-1006.916667,1531.005612,-1691,759.7666472,-41,343.3545434,-2082,1865.936241,91,420.020298,-199,348.1702631,-3706,65.89396014,-78.64709536,407.2608251,68.31791652,-83.84341606,373.0063736,26.07807614,-156.7416667,412.25,48.1706168,-54.12092718,508.4986148,118.3657035,-73.99231808,259.9975034,55.89886082,-159.6934982,132.9904762,55.84324429,-62.08010943,465.5205877,142.3419614,-12.02322935,304.1135354,25.98190576,-65.45325783,512.8271212,North American
Joe Veres,1977,2,968.7363068,2,0,0,2000,0,2,61,0,-1,0,-119,0,-267,0,0,0,0,0,0,0.225519288,-12.43333333,0,-79,0,-40,0,0,0,-21,0,-16,0,-82,0,-3.65,1.35,0,-4.134615385,0.865384615,0,0,5,0,-3.283333333,1.716666667,0,-4,1,0,0,5,0,-2.666666667,2.333333333,0,-3.2,1.8,0,-4.144927536,0.855072464,North American
Norifumi Yamamoto,1977,4,954.9094659,3,0,0,3969.463571,0,3,141,0,-9,87.13527314,89,90.40193981,-380,2.274101611,-21,0,-22,0.266666667,0,2.445943825,-7.266666667,66.01580807,85,7.915526344,-43,13.20393873,47,73.43755379,149,13.16438602,-37,0.533333333,-23,1.834136919,-0.68013667,16.86962785,1.872041237,-2.599436869,14.38176288,1.070384139,-5.833333333,18.66666667,1.589585516,-0.907030061,18.8158959,1.972507719,-5.566666667,10.57142857,2.433989788,-8.642857143,0.357142857,1.766520741,1.279824046,19.48631061,2.585964279,-4.180882353,6.75245098,0.177777778,-2.333333333,25,Asian
Jorge de Oliveira,1980,2,967.3315092,2,0,0,1968.736307,0,2,69,0,0,1.533333333,-119,17.88333333,-158,0,-10,0,-8,0,0,0,-20.41666667,0.666666667,-126,0.533333333,3,0.333333333,4,1.066666667,-11,0.466666667,6,0,-114,0.02254902,-2.29036067,2.371404036,0.89563231,-0.041752886,1.664387464,0,-4.75,0.25,0.013888889,-2.405437756,2.38622891,0.048484848,-0.106060606,4.166666667,0.037037037,0.055555556,4.5,0.017777778,-2.146376812,2.586956522,0.058333333,-0.125,4,0,-2.688888889,2.311111111,South American
John Howard,1983,14,994.0570382,1,0,0,14193.08157,7,7,405,7.270018622,-267,3121.963737,-12234,5017.160845,-9244,184.7137969,489,6.690958165,-261,3.6,-210,214.2225924,-124.7666667,1323.332765,-5103,412.108074,-7670,1386.522898,539,2091.889351,-7284,904.9577598,-1433,125.1166257,-3517,86.55407943,15.22383011,477.4779944,93.03598287,23.32152967,395.0366103,56.58251318,141.5465368,764.3833333,33.36245786,-65.04415522,610.7226039,49.90100652,-153.8224669,294.8434422,134.412884,49.79318595,161.0577951,76.9369984,69.80383269,572.4377111,109.6432643,-60.98838205,317.3900266,37.12714835,-224.3929085,338.5314505,Black American
Kevin Ferguson,1974,2,999.2847833,1,0,0,1999.707592,1,1,71,0,0,3.927659574,-172,8.357446809,-221,1.117730496,12,0.066666667,-15,0,0,1.72465721,4.05,3.235460993,-84,0.692198582,-12,0,-76,2.50212766,-84,0.266666667,-13,1.158865248,-75,0.12858985,-2.325689079,1.31283906,0.230160508,-1.642098102,1.01755102,0.236879433,2.6,5,0.15566408,-1.512548742,1.885714286,0.12745694,-2.428571429,1,0,-4.727272727,0.272727273,0.102497687,-2.194032396,1.745098039,0.02962963,-2.347222222,2.208333333,0.492198582,0.507246377,0.507246377,Caribbean
Paul Sass,1988,5,1015.965965,2,0,0,5124.658339,3,2,118,0,0,39.75438596,-836,111.7368421,-1021,4.210526316,-84,22.64912281,127,0,0,12.47076023,-289.1833333,27.78947368,-809,10.29824561,23,1.666666667,-50,14.49122807,31,0,0,25.26315789,-867,4.272311213,-14.11204762,23.69012629,5.592532002,-8.610824422,18.56089744,4.210526316,-0.666666667,38.33333333,3.692982456,-14.92368659,26.49298007,6.087719298,7,20,0.833333333,-33.5,9,1.745995423,-16.81860248,30.58357143,0,0,55,2.526315789,-21.48333333,23.91666667,European
John Salter,1985,3,984.7856495,1,0,0,3001.950895,1,2,75,0,0,32.42445962,-40,47.48926206,29,4.171120454,22,0,-18,0,-1,4.044615502,17.71666667,27.02045998,1,4.096493588,-14,1.307506053,-27,24.23147245,-64,6.885481123,22,1.307506053,2,1.170207315,-0.467576093,8.086300586,1.45670414,0.243020712,7.515202703,1.384154579,7.083333333,13.5,1.228304477,1.536429248,10.13308458,2.788987535,2,3,1.307506053,-5,0,0.861041816,-0.619206901,8.954706142,1.772157953,3.066666667,9,1.307506053,8.611111111,13.61111111,North American
Cezar Ferreira,1985,15,1031.625135,2,0,1,15185.15279,9,6,458,0.133333333,-528,2398.769081,-16235,4081.422356,-21209,255.3670491,2106,70.73977737,42,0,-242,412.2904374,2868.7,1232.912051,-18750,538.134429,-391,627.7226012,2906,1865.431918,-6163,170.9547074,-7165,362.3824561,-2907,81.17525255,-13.20391527,613.4373825,88.1902258,-36.72517066,507.178519,65.39693056,418.4909091,1069.25,71.75871268,-51.44293277,696.9197391,85.0991025,1.023867361,510.9653846,60.41387921,-167.3126737,307.4388927,84.97598734,110.6946372,739.4483841,37.13449655,-309.5880952,433.0547619,45.83687355,-515.7528511,328.4414141,South American
