Red Fighter,Blue Fighter,Probability Win,Probability Lose
Montel Jackson,Rani Yahya,0.6898553124104262,0.3101446875895738
Christos Giagos,Ricky Glenn,0.45669719231602707,0.5433028076839729
Jeremiah Wells,Matthew Semelsberger,0.5048424144027488,0.49515758559725126
Brad Tavares,Bruno Silva,0.537143109092086,0.46285689090791404
Sergei Pavlovich,Curtis Blaydes,0.41347329205295924,0.5865267079470408
Charles Johnson,Cody Durden,0.4436284494978905,0.5563715505021096
Jake Collier,Martin Buday,0.37148010154901934,0.6285198984509807
Waldo Cortes-Acosta,Marcos Rogerio de Lima,0.5253880495153165,0.4746119504846836
Cody Brundage,Rodolfo Vieira,0.4383347052854292,0.5616652947145708
Caio Borralho,Michal Oleksiejczuk,0.46896661189432576,0.5310333881056742
Ricky Simon,Song Yadong,0.5816417503331271,0.41835824966687285
Devin Clark,Kennedy Nzechukwu,0.3414850303576439,0.6585149696423562
Drew Dober,Matt Frevola,0.4754203101381522,0.5245796898618478
Kron Gracie,Charles Jourdain,0.36850695235931125,0.6314930476406888
Belal Muhammad,Gilbert Burns,0.4996946034417077,0.5003053965582923
Aljamain Sterling,Henry Cejudo,0.6022889742565924,0.39771102574340755
Bryan Battle,Gabe Green,0.5029719261407525,0.4970280738592475
Douglas Silva de Andrade,Cody Stamann,0.37936291017160445,0.6206370898283955
Court McGee,Matt Brown,0.5870442598365212,0.4129557401634788
Alex Morono,Tim Means,0.6303787277020984,0.36962127229790165
Ihor Potieria,Carlos Ulberg,0.3819732796066783,0.6180267203933216
Daniel Rodriguez,Ian Garry,0.38143165871112567,0.6185683412888743
Johnny Walker,Anthony Smith,0.5496767057808031,0.45032329421919703
Jailton Almeida,Jairzinho Rozenstruik,0.6135612401833646,0.38643875981663556
Ilir Latifi,Rodrigo Nascimento,0.471834212012073,0.528165787987927
Maheshate,Viacheslav Borshchev,0.555656359654091,0.444343640345909
Diego Ferreira,Michael Johnson,0.5577701335501318,0.44222986644986817
Joaquin Buckley,Andre Fialho,0.6099710494894608,0.3900289505105393
Edmen Shahbazyan,Anthony Hernandez,0.5552923708716755,0.44470762912832457
Philipe Lins,Maxim Grishin,0.46999053534576357,0.5300094646542364
Andrei Arlovski,Don'Tale Mayes,0.49993661733144545,0.5000633826685545
Daniel Santos,Johnny Munoz,0.43319688373623333,0.5668031162637667
Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,0.5286180484808488,0.4713819515191512
Tim Elliott,Victor Altamirano,0.3683815090732539,0.6316184909267462
Alex Caceres,Daniel Pineda,0.6131339542233273,0.3868660457766727
Amir Albazi,Kai Kara-France,0.6150861448442579,0.38491385515574195
Aoriqileng,Aiemann Zahabi,0.4152095080064049,0.5847904919935951
Eryk Anders,Marc-Andre Barriault,0.5534123061186188,0.4465876938813813
Nate Landwehr,Dan Ige,0.4969590372954172,0.5030409627045829
Mike Malott,Adam Fugitt,0.6678098422632484,0.3321901577367517
Beneil Dariush,Charles Oliveira,0.6263116292737367,0.3736883707262632
Modestas Bukauskas,Zac Pauga,0.49146534992634816,0.5085346500736517
Muslim Salikhov,Nicolas Dalby,0.6409549315560227,0.3590450684439773
Joaquim Silva,Arman Tsarukyan,0.2822569893078445,0.7177430106921555
Marvin Vettori,Jared Cannonier,0.6412211032943336,0.3587788967056665
Wellington Turman,Randy Brown,0.44711667628449747,0.5528833237155025
Neil Magny,Phil Rowe,0.4816042887474711,0.5183957112525289
Bruno Silva,Brendan Allen,0.3064682204040562,0.6935317795959438
