Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,height,reach,southpaw,oppelo,wins,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,last_fight
Sam Patterson,1996,7,1058.6124071265403,0,1,0,75,78,0,7158.264228831903,5,201,17.151397011046136,114.0,754.0345155452953,2136.0,803.9897806142859,2464.0,5.127690100430416,12.0,5.127690100430416,13.0,0.0,0.0,12.03725515677356,100.36666666666666,641.2020510742561,2287.0,69.28329320032107,211.0,43.54917127071823,-362.0,703.8297072282064,1784.0,4.8,72.0,45.40480831708902,280.0,57.40009622730211,5.651575060925989,88.25147883362388,63.037159362243,9.254337985469755,86.21717862322674,13.0,12.0,139.0,52.42404808829326,7.599345072268514,95.17529698397526,60.166666666666664,2.6666666666666643,82.5,43.33333333333333,-52.20833333333333,44.458333333333336,55.82579430339776,4.3272731370216295,88.50147883362388,18.0,18.0,140.0,44.6,43.7875,139.1875,2026-07-25 00:00:00
Kelvin Gastelum,1991,25,1061.1476725369916,1,0,1,69,71,1,26809.385984888424,14,689,130.673639538007,-1595.0,18860.64783293657,-37495.0,21396.496657797645,-89076.0,646.3080118702919,-1446.0,6.8885908611936015,-3556.0,82.05991715589238,94.0,770.2588629254811,-2332.7666666666664,11348.14344877413,-26360.0,4050.4215466687147,-18442.0,3462.0828374937246,7307.0,16756.328668105674,-29823.0,1222.549724412876,-136.0,881.7694404180185,-7536.0,2324.47081376201,-198.41298583550733,3002.116200402482,2496.798265961035,-249.60756976669262,2778.594164272272,1718.3515873015872,374.98186813186817,4181.630280830281,1702.2292697380553,-177.0765087458836,3645.6942215160607,3847.1155491922123,-122.19122665597172,1555.6932241518168,4529.940069561762,41.913414689287606,1036.9733451275247,2238.0473424895395,-132.25616415152462,3154.6964933589366,3565.719284881785,477.73393134643135,2437.014646464647,1181.5208333333335,-987.2325577200577,3356.246608946609,2026-04-11 00:00:00
Markus Perez,1988,7,950.9174844875786,3,0,0,73,73,0,6978.572199470226,2,216,0.0,-36.0,392.8712542180242,-835.0,510.6450338213699,-1573.0,3.644659536106931,-79.0,7.740181924166633,74.0,0.0,0.0,26.456623060898956,-268.48333333333335,203.6400226187164,-840.0,135.05374938242127,382.0,54.177482216886546,-377.0,308.8259494069298,253.0,77.75873764691528,68.0,6.286567164179104,-1156.0,65.96495345660185,3.501696229510686,77.53674277290884,74.88644849310687,0.8693079356569378,65.98285944255007,6.685714285714286,-23.86984126984127,109.44444444444444,45.46466244725738,-2.4448663948145675,92.09047115792805,108.33480760725342,17.88596625252972,49.55115864527629,112.80000000000001,44.161538461538456,71.36153846153846,57.54077900235824,17.778276734244518,100.23749773188626,67.17246642246641,-4.486965811965811,68.34056776556777,21.238095238095234,-69.63461007591442,49.127294685990336,2021-01-20 00:00:00
Emil Meek,1988,4,973.1014391707032,3,0,0,71,74,0,4248.58385931311,1,120,0.0,-16.0,77.26666666666667,82.0,161.4,154.0,0.06666666666666667,-152.0,1.2,18.0,0.0,0.0,0.77,-294.2833333333333,56.333333333333336,-57.0,14.266666666666666,120.0,6.666666666666666,19.0,35.0,-62.0,25.333333333333332,255.0,16.93333333333333,-111.0,11.854337950384924,-5.528718841427201,12.616943208187875,16.92627908476308,-4.295912701944834,8.777808213292085,0.5,-16.92706766917293,12.572932330827069,10.628743576111997,-6.1335336815140975,13.237722742373906,18.706060606060607,1.9727272727272718,13.266666666666667,11.93939393939394,-1.8106060606060614,16.25,7.836829836829837,-7.254027805810489,14.909142357359674,21.11120689655172,-2.8387931034482765,6.049999999999999,26.791608391608392,7.428817693933972,10.63720930232558,2020-02-22 00:00:00
Shane Howell,1983,2,959.9974154117398,2,0,0,68,68,0,1978.802248428694,0,63,0.0,0.0,5.866666666666666,-82.0,7.8092457420924575,-356.0,0.0,-13.0,0.0,-10.0,0.26666666666666666,4.0,0.06666666666666667,-40.483333333333334,2.933333333333333,-69.0,2.1333333333333333,16.0,0.8,-29.0,5.333333333333333,-26.0,0.0,-4.0,0.5333333333333333,-52.0,1.375,-1.5619369369369367,2.0630630630630633,1.9294117647058822,-1.6010760401721664,1.4695121951219514,0.0,-4.0,1.0,0.88,-1.62,2.5,3.2,0.9142857142857146,2.7142857142857144,3.0,-1.6363636363636362,0.36363636363636376,1.3559322033898304,-1.1678773204196933,2.4761904761904763,0.0,-4.0,1.0,1.6,-1.9294117647058822,1.4705882352941178,2015-01-18 00:00:00
Scott Adams,0,1,1020.0,0,1,0,72,72,1,1000,1,2000,0.0,0.0,0.0,0.0,3.174603174603175,7.0,0.31746031746031744,1.0,1.2698412698412698,3.0,0.0,-1.0,0.40740740740740744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9090909090909091,-0.09090909090909094,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2000-03-10 00:00:00
Iliarde Santos,1980,3,942.947515921208,3,0,0,65,67,0,2992.276334883738,0,99,0.0,0.0,45.75854451545061,-383.0,57.35869761040428,-386.0,2.158085230589609,18.0,0.0,0.0,0.0,0.0,2.5411067940396066,13.350000000000001,30.28464681844717,-195.0,11.323759486281379,-22.0,4.1501382107220595,-166.0,38.20789521500949,-306.0,5.125897403184839,-36.0,2.4247518972562756,-41.0,4.879545454545454,-1.1816414817485332,7.938813063706013,5.508100810081008,-0.9381067876041727,7.553792402314819,5.071428571428571,4.271428571428571,13.2,3.685126582278481,-1.398494303818072,8.916379113903446,10.3,2.668627450980392,6.368627450980393,9.5,-2.587719298245614,1.9122807017543861,4.366161616161616,-1.0579496419670253,8.57588874187136,8.5,-2.6428571428571423,2.857142857142857,13.0,4.114285714285714,5.114285714285714,2013-10-09 00:00:00
Cheick Kongo,1975,17,1066.846419056456,1,0,0,76,82,0,17318.430441306242,11,577,89.00601125698199,-723.0,5353.617507435929,24546.0,9198.529928684786,29847.0,217.17653279421955,1329.0,2.2666666666666666,-389.0,5.133333333333333,5.0,489.92131594069036,1374.7499999999998,2233.1511362736774,7744.0,1497.6128584894373,9869.0,1622.8535126728154,6933.0,2350.836997945925,7395.0,1588.1283989388194,11360.0,1414.6521105511856,5791.0,970.0237430484416,215.9315123165398,1030.9077692680983,1112.875780716493,225.75385246425253,897.8780717477597,583.5833333333333,446.51666666666665,1647.9333333333334,600.8119312407421,-9.974287338280078,1174.2137814209777,1367.3439746527981,759.9208866297101,1177.576911976912,1299.6542104634495,246.1542104634496,731.5,719.4052850674586,68.26923154982623,1133.8639464823675,1347.136974789916,817.956974789916,1255.8200000000002,710.8964426812724,-111.7690745601069,962.3344827586207,2013-04-27 00:00:00
Jeremy Kennedy,1992,4,1037.6513044125966,1,0,0,71,71,0,4076.8998651655265,3,100,0.0,-4.0,51.53098827470687,-767.0,83.95510887772194,-1360.0,7.266666666666667,77.0,0.0,0.0,0.0,0.0,10.229307649357901,5.983333333333334,42.05628140703517,-518.0,6.008040201005025,-133.0,3.466666666666667,-116.0,13.87470686767169,-119.0,5.466666666666667,-13.0,32.18961474036851,-635.0,11.912300091520947,-4.121033241812384,13.966666666666669,13.963475262814955,-5.740793292221995,10.29573144496305,9.055555555555555,-1.6111111111111107,19.333333333333336,10.751948323128634,-2.9700175081350073,16.27803416873636,26.247619047619047,-1.723809523809524,2.0285714285714285,13.6,-12.703571428571427,3.696428571428572,5.367027417027417,-7.670095678919208,16.962876904053374,8.205533596837945,-2.4762845849802364,19.31818181818182,24.72234432234432,8.98059674952879,14.258252427184468,2018-02-10 00:00:00
Dakota Bush,1994,2,960.4987601698368,2,0,0,70,73,0,1987.9931023670124,0,55,0.0,-4.0,14.363289280469896,-46.0,15.229955947136563,-96.0,2.1812041116005876,8.0,0.0,0.0,0.06666666666666667,-5.0,1.6870141948115518,-1.0500000000000007,9.591483113069016,-19.0,2.5145374449339206,-16.0,2.2572687224669603,-11.0,11.191483113069015,0.0,2.1145374449339207,-10.0,1.0572687224669604,-36.0,1.8608974358974357,-1.0920816301251084,2.047020933977456,1.9092896174863387,-1.2154144077701725,1.8752959747434887,2.833333333333333,1.833333333333333,4.0,1.568135593220339,-0.7476538804638714,2.68421052631579,2.9666666666666663,-1.866666666666667,0.16666666666666663,2.7199999999999998,-0.8725925925925925,1.4074074074074074,1.5794159544159543,-0.5590455840455841,2.8615384615384616,4.0,-0.6666666666666666,0.33333333333333337,4.0,0.23809523809523814,1.2380952380952381,2022-01-15 00:00:00
