Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Date,Red Fighter,Red KD,Red Sig. str.,Red Total str.,Red Td,Red Sub. att,Red Rev.,Red Ctrl,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Total str.,Blue Td,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground,Red Sig. str.%,Red Total str.%,Red Td%,Red Head%,Red Body%,Red Leg%,Red Distance%,Red Clinch%,Red Ground%,Blue Sig. str.%,Blue Total str.%,Blue Td%,Blue Head%,Blue Body%,Blue Leg%,Blue Distance%,Blue Clinch%,Blue Ground%
Lightweight Bout,Jalin Turner,Bobby Green,False,KO/TKO,1,2.816666666666667,,Kerry Hatley,,"December 02, 2023",Jalin Turner,1.0,33.0,33.0,0.0,0.0,0.0,0.2,26.0,2.0,5.0,18.0,0.0,15.0,Bobby Green,0.0,15.0,15.0,0.0,0.0,0.0,0.03333333333333333,5.0,3.0,7.0,14.0,1.0,0.0,0.55,0.55,0.0,0.5416666666666666,0.5,0.625,0.43902439024390244,0.0,0.7894736842105263,0.5769230769230769,0.5769230769230769,0.0,0.35714285714285715,0.75,0.875,0.5833333333333334,0.5,0.0
Bantamweight Bout,Deiveson Figueiredo,Rob Font,False,Decision - Unanimous,3,5.0,,Jeff Rexroad,,"December 02, 2023",Rob Font,0.0,46.0,48.0,0.0,0.0,0.0,0.36666666666666664,39.0,5.0,2.0,44.0,2.0,0.0,Deiveson Figueiredo,0.0,45.0,53.0,4.0,0.0,0.0,4.033333333333333,35.0,7.0,3.0,33.0,6.0,6.0,0.48936170212765956,0.5,0.0,0.4588235294117647,0.8333333333333334,0.6666666666666666,0.4782608695652174,1.0,0.0,0.6081081081081081,0.6309523809523809,0.5714285714285714,0.546875,1.0,1.0,0.55,0.8571428571428571,0.8571428571428571
Welterweight Bout,Sean Brady,Kelvin Gastelum,False,Submission,3,1.7166666666666666,,Jacob Montalvo,,"December 02, 2023",Sean Brady,0.0,14.0,97.0,5.0,3.0,0.0,9.1,8.0,1.0,5.0,7.0,1.0,6.0,Kelvin Gastelum,0.0,18.0,21.0,0.0,0.0,1.0,0.31666666666666665,7.0,7.0,4.0,13.0,4.0,1.0,0.5833333333333334,0.7461538461538462,1.0,0.5,0.5,0.8333333333333334,0.4666666666666667,1.0,0.75,0.5625,0.6,0.0,0.3684210526315789,0.875,0.8,0.5652173913043478,0.8,0.25
Lightweight Bout,Joaquim Silva,Clay Guida,False,Decision - Unanimous,3,5.0,,Mark Smith,,"December 02, 2023",Clay Guida,0.0,43.0,63.0,2.0,0.0,0.0,4.383333333333334,19.0,14.0,10.0,36.0,7.0,0.0,Joaquim Silva,0.0,46.0,85.0,2.0,2.0,0.0,2.5833333333333335,33.0,9.0,4.0,28.0,15.0,3.0,0.3208955223880597,0.4064516129032258,0.18181818181818182,0.18446601941747573,0.7,0.9090909090909091,0.28346456692913385,1.0,0.0,0.5054945054945055,0.6028368794326241,0.6666666666666666,0.4583333333333333,0.6,1.0,0.4375,0.7894736842105263,0.375
Middleweight Bout,Dustin Stoltzfus,Punahele Soriano,False,Submission,2,4.166666666666667,,Kerry Hatley,,"December 02, 2023",Punahele Soriano,0.0,31.0,33.0,0.0,0.0,0.0,0.0,18.0,9.0,4.0,30.0,1.0,0.0,Dustin Stoltzfus,1.0,64.0,78.0,4.0,1.0,0.0,2.2,24.0,23.0,17.0,60.0,4.0,0.0,0.4246575342465753,0.4342105263157895,0.0,0.32142857142857145,0.8181818181818182,0.6666666666666666,0.4166666666666667,1.0,0.0,0.5203252032520326,0.5571428571428572,0.5714285714285714,0.3037974683544304,0.8518518518518519,1.0,0.5172413793103449,0.5714285714285714,0.0
Middleweight Bout,Cody Brundage,Zach Reese,False,KO/TKO,1,1.8166666666666667,,Jeff Rexroad,,"December 02, 2023",Zach Reese,0.0,4.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,Cody Brundage,0.0,9.0,12.0,1.0,0.0,0.0,1.4166666666666667,7.0,1.0,1.0,4.0,0.0,5.0,0.8,0.8333333333333334,0.0,0.75,0.0,1.0,0.5,1.0,1.0,0.75,0.75,1.0,0.7,1.0,1.0,1.0,0.0,0.625
Lightweight Bout,Drakkar Klose,Joe Solecki,False,KO/TKO,1,1.6833333333333333,,Mark Smith,,"December 02, 2023",Drakkar Klose,0.0,2.0,8.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,1.0,Joe Solecki,0.0,1.0,9.0,1.0,0.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6923076923076923,0.5,1.0,0.0,0.0,1.0,0.0,0.0
Light Heavyweight Bout,Rodolfo Bellato,Ihor Potieria,False,KO/TKO,2,4.283333333333333,,Jacob Montalvo,,"December 02, 2023",Rodolfo Bellato,0.0,80.0,99.0,1.0,0.0,0.0,2.816666666666667,70.0,9.0,1.0,18.0,11.0,51.0,Ihor Potieria,1.0,73.0,92.0,0.0,0.0,0.0,1.6833333333333333,58.0,9.0,6.0,38.0,12.0,23.0,0.6106870229007634,0.61875,0.25,0.603448275862069,0.75,0.3333333333333333,0.391304347826087,0.7857142857142857,0.7183098591549296,0.5748031496062992,0.6013071895424836,0.0,0.5225225225225225,0.9,1.0,0.5205479452054794,0.5714285714285714,0.696969696969697
Welterweight Bout,Jared Gooden,Wellington Turman,False,Submission,2,1.1833333333333333,,Jeff Rexroad,,"December 02, 2023",Wellington Turman,0.0,37.0,46.0,1.0,0.0,0.0,1.6666666666666667,27.0,2.0,8.0,32.0,2.0,3.0,Jared Gooden,0.0,53.0,62.0,1.0,1.0,0.0,0.5166666666666667,33.0,14.0,6.0,43.0,1.0,9.0,0.6491228070175439,0.6301369863013698,1.0,0.574468085106383,1.0,1.0,0.6530612244897959,1.0,0.5,0.6385542168674698,0.6526315789473685,1.0,0.559322033898305,0.7777777777777778,1.0,0.5972222222222222,1.0,0.9
Middleweight Bout,Brendan Allen,Paul Craig,False,Submission,3,0.6333333333333333,,Mark Smith,,"November 18, 2023",Brendan Allen,0.0,32.0,52.0,2.0,2.0,0.0,7.966666666666667,26.0,3.0,3.0,12.0,1.0,19.0,Paul Craig,0.0,6.0,13.0,0.0,1.0,0.0,0.5666666666666667,3.0,1.0,2.0,6.0,0.0,0.0,0.7441860465116279,0.8125,1.0,0.7027027027027027,1.0,1.0,0.7058823529411765,0.5,0.7916666666666666,0.42857142857142855,0.6190476190476191,0.0,0.3,1.0,0.6666666666666666,0.46153846153846156,0.0,0.0
