id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_opponentexp,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_opponentexp,result,method,round,time
7989,UFC Fight Night: Lewis vs. Dos Santos,"Mar. 09, 2019",Matt Schnell,125 lbs.,"5' 8""","70""","Jan 15, 1990",-0.25,-0.25,-1,0.25,0.5,2,4,2,16-7-0 (1 NC),0,0.6916666666666667,Louis Smolka,135 lbs.,"5' 9""","68""","Jul 16, 1991",-0.2727272727272727,6.7272727272727275,-2,0.18181818181818182,0.5454545454545454,1,11,6,17-9-0,0,0.694462481962482,win,SUB,1,3:18
7990,UFC Fight Night: Ortega vs. Rodriguez,"Jul. 16, 2022",Matt Schnell,125 lbs.,"5' 8""","70""","Jan 15, 1990",-0.1,0.2,-0.5,0.3,0.5,0,10,5,16-7-0 (1 NC),0,0.6726406926406926,Sumudaerji,125 lbs.,"5' 8""","72""","Jan 20, 1996",0.25,21.75,-0.25,0.25,0.75,3,4,3,16-5-0,0,0.694462481962482,win,SUB,2,4:24
7991,PRIDE Grand Prix 2000 Opening Round,"Jan. 30, 2000",Bob Schrijber,240 lbs.,"6' 0""",--,--,0,6,-4,-2,0.0,0,1,0,20-17-1,0,0.0,Wanderlei Silva,205 lbs.,"5' 11""","74""","Jul 03, 1976",0.25,19.25,-1,0.25,0.75,3,4,3,35-13-1 (1 NC),0,0.375,loss,SUB,1,2:42
7992,UFC Fight Night: Dos Santos vs. Ivanov,"Jul. 14, 2018",Justin Scoggins,125 lbs.,"5' 7""","66""","May 02, 1992",0.125,21.75,2.125,-0.375,0.5,0,8,4,11-5-0,0,0.43124999999999997,Said Nurmagomedov,,,,,,,,,,,,,,,,loss,S-DEC,3,5:00
7993,UFC Fight Night: Gustafsson vs Manuwa,"Mar. 08, 2014",Brad Scott,170 lbs.,"6' 1""","76""","Jun 24, 1989",-0.5,-10.5,0,1,0.5,1,2,1,11-6-0,1,0.16666666666666666,Claudio Silva,,,,,,,,,,,,,,,,loss,U-DEC,3,5:00
7994,UFC Fight Night: Thompson vs. Till,"May. 27, 2018",Brad Scott,170 lbs.,"6' 1""","76""","Jun 24, 1989",-0.2857142857142857,-9.285714285714286,-1,0.42857142857142855,0.42857142857142855,0,7,3,11-6-0,1,0.37857142857142856,Carlo Pedersoli Jr.,,,,,,,,,,,,,,,,loss,S-DEC,3,5:00
7995,UFC 189: Mendes vs McGregor,"Jul. 11, 2015",Neil Seery,125 lbs.,"5' 4""","64""","Aug 30, 1979",0.3333333333333333,11.666666666666666,-1.6666666666666667,1,0.6666666666666666,2,3,2,16-13-0,0,0.6166666666666667,Louis Smolka,135 lbs.,"5' 9""","68""","Jul 16, 1991",0.3333333333333333,1,-3.6666666666666665,-1.3333333333333333,0.6666666666666666,1,3,2,17-9-0,0,0.6690476190476191,loss,U-DEC,3,5:00
7996,The Ultimate Fighter: The Comeback Finale,"Nov. 11, 2006",Pete Sell,170 lbs.,"5' 11""","75""","Aug 05, 1982",-0.5,-1,-1.5,0.5,0.5,0,2,1,10-7-0,0,0.7142857142857143,Scott Smith,185 lbs.,"6' 0""","70""","May 21, 1979",0.5,-1,-0.5,-1.5,0.5,0,2,1,18-11-0 (1 NC),1,0.5572562358276644,loss,KO/TKO,2,3:25
7997,UFC Fight Night: Edwards vs. Muhammad,"Mar. 13, 2021",Matthew Semelsberger,170 lbs.,"6' 1""","75""","Nov 23, 1992",1,41,2,1,1.0,1,1,1,11-6-0,0,0.0,Jason Witt,170 lbs.,"5' 10""","70""","Nov 07, 1986",-0.5,1.5,1,0.5,0.5,1,2,1,19-9-0,0,0.5856481481481481,win,KO/TKO,1,0:16
7998,UFC Fight Night: Jung vs. Ige,"Jun. 19, 2021",Matthew Semelsberger,170 lbs.,"6' 1""","75""","Nov 23, 1992",1,20,1,0.5,1.0,2,2,2,11-6-0,0,0.25,Khaos Williams,170 lbs.,"6' 0""","77""","Mar 30, 1994",0.6666666666666666,7.666666666666667,-0.6666666666666666,-0.3333333333333333,0.6666666666666666,0,3,2,14-3-0,0,0.5856481481481481,loss,U-DEC,3,5:00
7999,UFC 266: Volkanovski vs. Ortega,"Sep. 25, 2021",Matthew Semelsberger,170 lbs.,"6' 1""","75""","Nov 23, 1992",0.6666666666666666,4.333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,3,2,11-6-0,0,0.38888888888888884,Martin Sano,,,,,,,,,,,,,,,,win,KO/TKO,1,0:15
8000,UFC Fight Night: Pavlovich vs. Blaydes,"Apr. 22, 2023",Matthew Semelsberger,170 lbs.,"6' 1""","75""","Nov 23, 1992",1,0.2857142857142857,0.2857142857142857,-0.2857142857142857,0.7142857142857143,1,7,5,11-6-0,0,0.5029761904761905,Jeremiah Wells,170 lbs.,"5' 9""","74""","Oct 30, 1986",0.6666666666666666,8,0.3333333333333333,0,1.0,3,3,3,12-3-1,0,0.5856481481481481,loss,S-DEC,3,5:00
8001,UFC 37: High Impact,"May. 10, 2002",Andrei Semenov,185 lbs.,"6' 0""",--,"Jun 17, 1977",1,-7,-1,-5,1.0,1,1,1,34-9-2,0,0.6666666666666666,Ivan Salaverry,,,,,,,,,,,,,,,,loss,KO/TKO,3,2:27
8002,WEC 46: Varner vs. Henderson,"Jan. 10, 2010",Mackens Semerzier,145 lbs.,"5' 9""","72""","Nov 03, 1980",0,0,-1,1,1.0,1,1,1,8-4-0 (1 NC),0,1.0,Deividas Taurosevicius,145 lbs.,"5' 9""","68""","Aug 28, 1977",0,2,-2,-2,1.0,1,1,1,17-5-0,0,0.7006802721088435,loss,U-DEC,3,5:00
