id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Lucas Almeida,,,,"Jan 31, 1991",0.3333333333333333,0.0,-1.0,-0.3333333333333333,0.3333333333333333,0,2,6,2,,0,0,2700,981.4289019713685,1042.5242023749943,1,1,1,1,1,1,0,0,0,0,Andre Fili,,,,"Jun 25, 1990",0.0,-3.4,0.6,-0.15,0.5,0,2,40,20,,0,0,2955,1031.6868735379521,1042.291424058561,5,5,2,2,8,8,4,4,0,0,unknown,,,
,,unknown,Song Yadong,,,,"Dec 02, 1997",0.5833333333333334,9.916666666666666,-0.75,0.16666666666666666,0.75,2,0,24,18,,0,0,154,1189.2362207141157,1072.8088187782412,6,6,1,1,3,3,1,1,0,0,Chris Gutierrez,,,,"Apr 22, 1991",0.4,23.6,-0.6,-0.2,0.7,0,2,20,14,,0,0,2556,1134.7407262227352,1032.6130545852493,3,3,1,1,3,3,2,2,0,0,unknown,,,
,,unknown,Chris Gutierrez,,,,"Apr 22, 1991",0.4,23.6,-0.6,-0.2,0.7,0,2,20,14,,0,0,2556,1134.7407262227352,1032.6130545852493,3,3,1,1,3,3,2,2,0,0,Song Yadong,,,,"Dec 02, 1997",0.5833333333333334,9.916666666666666,-0.75,0.16666666666666666,0.75,2,0,24,18,,0,0,154,1189.2362207141157,1072.8088187782412,6,6,1,1,3,3,1,1,0,0,unknown,,,
,,unknown,Khalil Rountree Jr.,,,,"Feb 26, 1990",0.7857142857142857,-3.2857142857142856,-1.0,0.0,0.5714285714285714,8,0,28,16,,2,0,3095,1102.9523469866858,1008.9066005949015,8,8,1,1,3,3,1,1,0,0,Anthony Smith,,,,"Jul 26, 1988",0.08333333333333333,-12.5,-0.7083333333333334,0.3333333333333333,0.5833333333333334,2,0,48,28,,2,0,3689,1163.9649297393375,1101.470133572431,11,11,7,7,5,5,1,1,0,0,unknown,,,
,,unknown,Anthony Smith,,,,"Jul 26, 1988",0.08333333333333333,-12.5,-0.7083333333333334,0.3333333333333333,0.5833333333333334,2,0,48,28,,2,0,3689,1163.9649297393375,1101.470133572431,11,11,7,7,5,5,1,1,0,0,Khalil Rountree Jr.,,,,"Feb 26, 1990",0.7857142857142857,-3.2857142857142856,-1.0,0.0,0.5714285714285714,8,0,28,16,,2,0,3095,1102.9523469866858,1008.9066005949015,8,8,1,1,3,3,1,1,0,0,unknown,,,
,,unknown,Nasrat Haqparast,,,,"Aug 22, 1995",0.36363636363636365,6.090909090909091,-0.36363636363636365,-0.09090909090909091,0.6363636363636364,4,0,22,14,,0,0,1120,1095.5413048233595,1032.5363053026206,2,2,0,0,9,9,0,0,0,0,Jamie Mullarkey,,,,"Aug 17, 1994",-0.1111111111111111,0.5555555555555556,1.4444444444444444,0.0,0.5555555555555556,2,0,18,10,,0,0,1490,1051.849143037241,1022.2526135609592,4,4,0,0,4,4,1,1,0,0,unknown,,,
,,unknown,Jamie Mullarkey,,,,"Aug 17, 1994",-0.1111111111111111,0.5555555555555556,1.4444444444444444,0.0,0.5555555555555556,2,0,18,10,,0,0,1490,1051.849143037241,1022.2526135609592,4,4,0,0,4,4,1,1,0,0,Nasrat Haqparast,,,,"Aug 22, 1995",0.36363636363636365,6.090909090909091,-0.36363636363636365,-0.09090909090909091,0.6363636363636364,4,0,22,14,,0,0,1120,1095.5413048233595,1032.5363053026206,2,2,0,0,9,9,0,0,0,0,unknown,,,
,,unknown,Tim Elliott,,,,"Dec 24, 1986",0.1111111111111111,9.0,2.0555555555555554,0.05555555555555555,0.4444444444444444,4,0,36,16,,2,0,4185,1044.5471954303462,1050.9554975083106,0,0,5,5,13,13,0,0,0,0,Sumudaerji,,,,"Jan 20, 1996",0.4,19.6,-0.6,-0.2,0.6,0,2,10,6,,0,0,549,1020.146314291987,981.8906946043905,1,1,2,2,2,2,0,0,0,0,unknown,,,
,,unknown,Sumudaerji,,,,"Jan 20, 1996",0.4,19.6,-0.6,-0.2,0.6,0,2,10,6,,0,0,549,1020.146314291987,981.8906946043905,1,1,2,2,2,2,0,0,0,0,Tim Elliott,,,,"Dec 24, 1986",0.1111111111111111,9.0,2.0555555555555554,0.05555555555555555,0.4444444444444444,4,0,36,16,,2,0,4185,1044.5471954303462,1050.9554975083106,0,0,5,5,13,13,0,0,0,0,unknown,,,
,,unknown,Andre Muniz,,,,"Feb 17, 1990",0.0,1.2222222222222223,0.7777777777777778,0.4444444444444444,0.7777777777777778,0,4,18,14,,0,0,3083,1134.3666301237931,1076.4033110140865,1,1,5,5,3,3,0,0,0,0,JunYong Park,,,,"Feb 27, 1991",0.1111111111111111,14.222222222222221,0.1111111111111111,0.7777777777777778,0.7777777777777778,8,0,18,14,,0,0,2701,1129.7365139882459,991.6054305369101,1,1,4,4,2,2,1,1,1,1,unknown,,,
