Red Fighter,Blue Fighter,Predicted Result,Probability
Aljamain Sterling,Petr Yan,loss,0.6799387050280653
Chan Sung Jung,Alexander Volkanovski,loss,0.7256753831445594
Kevin Croom,Alatengheili,win,0.5611967361461095
Rafa Garcia,Jesse Ronson,win,0.5526010633666205
Pannie Kianzad,Lina Lansberg,win,0.6835946479450723
Devin Clark,William Knight,win,0.5774109894842371
Wu Yanan,Mayra Bueno Silva,loss,0.6798278768535838
Belal Muhammad,Vicente Luque,loss,0.5181727880888819
Philipe Lins,Marcin Prachnio,loss,0.7695291360214157
Tyson Pedro,Ike Villanueva,win,0.7090785066417542
Sergey Khandozhko,Dwight Grant,loss,0.5665619760200201
Jordan Wright,Marc-Andre Barriault,loss,0.5572425473593442
Lando Vannata,Charles Jourdain,win,0.5473465126412874
Maycee Barber,Montana De La Rosa,loss,0.5733181592970928
Clay Guida,Claudio Puelles,loss,0.6881036511784716
Amanda Lemos,Jessica Andrade,win,0.7361927618270353
Gina Mazany,Shanna Young,win,0.6722292451104378
Chase Sherman,Alexandr Romanov,loss,0.9376244158279315
Krzysztof Jotko,Gerald Meerschaert,win,0.5636771112303203
Darren Elkins,Tristan Connelly,loss,0.5018821627990331
Jared Gordon,Grant Dawson,loss,0.597582527628155
Jake Collier,Andrei Arlovski,loss,0.5755369415595041
Rob Font,Marlon Vera,loss,0.5093906655020602
Ariane Carnelossi,Loopy Godinez,loss,0.6858662468404294
Tracy Cortez,Melissa Gatto,loss,0.5096670284448299
Blagoy Ivanov,Marcos Rogerio de Lima,win,0.632729015730399
Matt Schnell,Brandon Royval,loss,0.6639473055251048
Norma Dumont,Macy Chiasson,win,0.6531770942628267
Francisco Trinaldo,Danny Roberts,win,0.6353296074410782
Randy Brown,Khaos Williams,win,0.5982391763169695
Ovince Saint Preux,Mauricio Rua,loss,0.6738903136663317
Tony Ferguson,Michael Chandler,loss,0.6009091919437768
Carla Esparza,Rose Namajunas,loss,0.709758883525795
Justin Gaethje,Charles Oliveira,win,0.5834655280481005
Nick Maximov,Andre Petroski,loss,0.6011514449391727
Angela Hill,Virna Jandiroba,loss,0.5081929082296726
Alan Patrick,Michael Johnson,loss,0.5942736389446971
Andrea Lee,Viviane Araujo,win,0.5685255907074243
Katlyn Cerminara,Amanda Ribas,loss,0.5352222467422949
Louis Smolka,Davey Grant,loss,0.5905085436856563
Ion Cutelaba,Ryan Spann,win,0.5031051074320494
Jan Blachowicz,Aleksandar Rakic,loss,0.5557788024121676
Elise Reed,Sam Hughes,win,0.6522919598820661
Chase Hooper,Felipe Colares,loss,0.5029330998521306
Vince Morales,Jonathan Martinez,loss,0.6098992159807276
Uros Medic,Omar Morales,loss,0.618701467838993
Eryk Anders,JunYong Park,win,0.5245675914139807
Tabatha Ricci,Polyana Viana,loss,0.6549543967004571
Santiago Ponzinibbio,Michel Pereira,loss,0.5766532924845084
Holly Holm,Ketlen Vieira,win,0.7086004149241578
Erin Blanchfield,JJ Aldrich,win,0.7693874573406275
Zhalgas Zhumagulov,Jeff Molina,loss,0.7178914832647706
Johnny Munoz,Tony Gravely,loss,0.688636724723389
Joe Solecki,Alex Da Silva,win,0.6872675945887394
Karolina Kowalkiewicz,Felice Herrig,loss,0.6251081804096372
Ode Osbourne,Zarrukh Adashev,loss,0.7380399967419891
Dan Ige,Movsar Evloev,loss,0.7568646800540696
Jairzinho Rozenstruik,Alexander Volkov,loss,0.5064490528460585
Kyung Ho Kang,Batgerel Danaa,win,0.6095413337585004
Brendan Allen,Jacob Malkoun,loss,0.6171794894885926
Josh Culibao,SeungWoo Choi,win,0.5164410752174021
Jake Matthews,Andre Fialho,win,0.6979879614215083
Zhang Weili,Joanna Jedrzejczyk,loss,0.5912726374237931
Taila Santos,Valentina Shevchenko,loss,0.9053502609378434
Jiri Prochazka,Glover Teixeira,loss,0.5929876662276242
Roman Dolidze,Kyle Daukaus,win,0.6295126404106095
Deron Winn,Phil Hawes,loss,0.5837497750039562
Eddie Wineland,Cody Stamann,loss,0.57356078927522
Ricardo Ramos,Danny Chavez,win,0.5503339270786676
Court McGee,Jeremiah Wells,loss,0.5607283556372941
Tony Kelley,Adrian Yanez,loss,0.6445150032784057
Julian Marquez,Gregory Rodrigues,win,0.6410280808694984
Tim Means,Kevin Holland,loss,0.602365730515357
Josh Emmett,Calvin Kattar,win,0.585317203202037
Vanessa Demopoulos,Jinh Yu Frey,loss,0.539375336692437
Brian Kelleher,Mario Bautista,loss,0.6466062836062377
JP Buys,Cody Durden,win,0.5613101071125275
Sergey Morozov,Raulian Paiva,win,0.5869685243815002
Shayilan Nuerdanbieke,TJ Brown,loss,0.6420376781211261
Tafon Nchukwi,Carlos Ulberg,win,0.574431307701215
Rodolfo Vieira,Chris Curtis,loss,0.5319008441575409
Umar Nurmagomedov,Nate Maness,win,0.7124626416367483
Christos Giagos,Thiago Moises,loss,0.5673131025456029
Alan Baudot,Josh Parisian,win,0.745899125009322
Neil Magny,Shavkat Rakhmonov,loss,0.7564961197982812
Arman Tsarukyan,Mateusz Gamrot,win,0.712827987361306
Jessica-Rose Clark,Julija Stoliarenko,win,0.6512266826666363
Jessica Eye,Maycee Barber,loss,0.7731958440005328
Uriah Hall,Andre Muniz,loss,0.5799331583693672
Dricus Du Plessis,Brad Tavares,win,0.7480805375092037
Ian Garry,Gabe Green,win,0.5406266182627416
Donald Cerrone,Jim Miller,loss,0.4797816608294111
Brad Riddell,Jalin Turner,loss,0.6367768011854354
Sean O'Malley,Pedro Munhoz,win,0.5260108290907551
Pedro Munhoz,Sean O'Malley,loss,0.6215343537542233
Bryan Barberena,Robbie Lawler,loss,0.6056439917742868
Sean Strickland,Alex Pereira,win,0.6183727357786984
Alexander Volkanovski,Max Holloway,win,0.6627644826703963
Jared Cannonier,Israel Adesanya,loss,0.610978060311556
Karl Roberson,Kennedy Nzechukwu,loss,0.5708600223187122
Cortney Casey,Antonina Shevchenko,win,0.6829095542305549
Michael Johnson,Jamie Mullarkey,win,0.6666631313688215
Chase Sherman,Jared Vanderaa,loss,0.6663886435360176
Said Nurmagomedov,Douglas Silva de Andrade,win,0.5358100155601434
Rafael Fiziev,Rafael Dos Anjos,win,0.5686516911838838
Dwight Grant,Dustin Stoltzfus,loss,0.6033059100042621
Dustin Jacoby,Da Woon Jung,loss,0.5350343501094468
Bill Algeo,Herbert Burns,win,0.5010797261055894
Ricky Simon,Jack Shore,win,0.8420277842036319
Punahele Soriano,Dalcha Lungiambula,win,0.8208057669613441
Lauren Murphy,Miesha Tate,loss,0.583255674806823
Shane Burgos,Charles Jourdain,win,0.5640041356745896
Sumudaerji,Matt Schnell,win,0.66613315030177
Li Jingliang,Muslim Salikhov,loss,0.7096994591453103
Amanda Lemos,Michelle Waterson-Gomez,win,0.5965956609257946
Brian Ortega,Yair Rodriguez,win,0.7278219843923129
Nicolas Dalby,Claudio Silva,loss,0.7970298416712781
Kyle Nelson,Jai Herbert,loss,0.609427886024663
Makwan Amirkhani,Jonathan Pearce,win,0.5576498608946308
Charles Rosa,Nathaniel Wood,loss,0.786994839919479
Damir Hadzovic,Marc Diakiese,loss,0.5538281999516329
Mason Jones,Ludovit Klein,win,0.647794139053958
Paul Craig,Volkan Oezdemir,loss,0.49877611821617945
Molly McCann,Hannah Goldy,win,0.7060101045787122
Nikita Krylov,Alexander Gustafsson,win,0.6321397024533454
Jordan Leavitt,Paddy Pimblett,win,0.5535744129888509
Jack Hermansson,Chris Curtis,loss,0.5743326488013346
Curtis Blaydes,Tom Aspinall,loss,0.55430570507082
Joselyne Edwards,Ji Yeon Kim,win,0.6478485096816334
Rafa Garcia,Drakkar Klose,win,0.5597617538640853
Drew Dober,Rafael Alves,win,0.6190583787599823
Matthew Semelsberger,Alex Morono,loss,0.6447438447056981
Anthony Smith,Magomed Ankalaev,loss,0.6900880923617103
Alexandre Pantoja,Alex Perez,loss,0.5549528718815847
Derrick Lewis,Sergei Pavlovich,loss,0.6358462497341646
Brandon Moreno,Kai Kara-France,win,0.7482398613752105
Amanda Nunes,Julianna Pena,win,0.6553778119202045
Mayra Bueno Silva,Stephanie Egger,loss,0.7474231325607535
Miranda Granger,Cory McKenna,win,0.5625011866576864
Bryan Battle,Takashi Sato,win,0.7057298012955461
Sam Alvey,Michal Oleksiejczuk,loss,0.5921830866587335
Serghei Spivac,Augusto Sakai,win,0.5703877931859594
Vicente Luque,Geoff Neal,loss,0.5838912358800732
Thiago Santos,Jamahal Hill,win,0.6640039127637146
Tyson Nam,Ode Osbourne,win,0.5939021085633531
Gabriel Benitez,Charlie Ontiveros,win,0.5921814798463516
Cynthia Calvillo,Nina Nunes,win,0.5810576185497798
Angela Hill,Loopy Godinez,loss,0.8933764800131436
Gerald Meerschaert,Bruno Silva,loss,0.5774854423201736
Priscila Cachoeira,Ariane Lipski,loss,0.617669710075134
Nate Landwehr,David Onama,loss,0.5092605648418411
Marlon Vera,Dominick Cruz,loss,0.7000784917637134
Amir Albazi,Francisco Figueiredo,win,0.7375429163314701
Sean Woodson,Luis Saldana,win,0.570893554609072
Leonardo Santos,Jared Gordon,win,0.7961307270815297
Alexandr Romanov,Marcin Tybura,win,0.6501265181871285
Tyson Pedro,Harry Hunsucker,win,0.5105618449692312
Wu Yanan,Lucie Pudilova,win,0.6359364794663026
Jose Aldo,Merab Dvalishvili,loss,0.848480703175934
Luke Rockhold,Paulo Costa,win,0.7685415873302244
Kamaru Usman,Leon Edwards,win,0.8423016031537756
John Makdessi,Nasrat Haqparast,win,0.6195227254248471
Charles Jourdain,Nathaniel Wood,loss,0.7053580686259799
