id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
7241,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019",Alex Oliveira,170 lbs.,"5' 11""","76""","Feb 21, 1988",0.1875,8.125,1,0.125,0.625,0,1,16,10,22-12-1 (2 NC),0,0,2123.0,1092.2790798963215,1055.1144723062198,Mike Perry,170 lbs.,"5' 10""","71""","Sep 15, 1991",0.7272727272727273,-0.9090909090909091,-0.09090909090909091,-0.09090909090909091,0.6363636363636364,0,1,11,7,14-8-0,0,0,793.0,1049.4891691618502,1043.7069895376842,loss,U-DEC,3,5:00
7242,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019",Roosevelt Roberts,155 lbs.,"6' 2""","73""","Feb 11, 1994",0,18.25,1.75,0.75,1.0,4,0,4,4,10-3-0 (1 NC),0,0,81.0,1058.1983005977802,976.4737574812928,Thomas Gifford,155 lbs.,"6' 1""","75""","Jul 26, 1992",0,-23,-1,0,0.0,0,1,1,0,14-9-0 (2 NC),0,0,646.0,986.0256606059254,1058.1983005977802,win,U-DEC,3,5:00
7243,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019",Ben Saunders,170 lbs.,"6' 2""","77""","Apr 13, 1983",-0.22727272727272727,1.9545454545454546,-0.5909090909090909,0.4090909090909091,0.5909090909090909,0,3,22,13,22-13-2,0,0,4038.0,1030.4556574932526,1033.306685971999,Takashi Sato,170 lbs.,"5' 10""","73""","Jun 09, 1990",1,-18,0,0,1.0,1,0,1,1,16-7-0,0,0,1424.0,1018.2273783170219,1030.4556574932526,loss,KO/TKO,2,1:18
7244,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Juan Adams,265 lbs.,"6' 5""","80""","Jan 16, 1992",0,49,0.3333333333333333,0,1.0,3,0,3,3,5-3-0,0,0,705.0,1043.196737057656,965.9554283920651,Arjan Bhullar,245 lbs.,"6' 1""","75""","May 13, 1986",0.5,-4,1.25,-0.25,0.75,1,0,4,3,9-1-0,0,0,2730.0,1030.2151999559392,997.9908048353336,loss,U-DEC,3,5:00
7245,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Derek Brunson,185 lbs.,"6' 1""","77""","Jan 04, 1984",0.05,2.4,0.9,0.25,0.7,0,2,20,14,23-9-0,0,0,3597.0,1107.8326275858803,1055.0085653759702,Elias Theodorou,185 lbs.,"6' 1""","75""","May 31, 1988",-0.09090909090909091,29.818181818181817,-0.18181818181818182,-0.2727272727272727,0.8181818181818182,3,0,11,9,16-3-0,2,2,2023.0,1102.8396756810414,1021.2515608110563,win,U-DEC,3,5:00
7246,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Shane Burgos,145 lbs.,"5' 11""","75""","Mar 19, 1991",0.6666666666666666,12.666666666666666,0,0.16666666666666666,0.8333333333333334,1,0,6,5,15-3-0,0,0,966.0,1056.6167913554286,997.6112947334665,Cub Swanson,145 lbs.,"5' 8""","70""","Nov 02, 1983",0.16,10.48,-0.96,-0.04,0.64,0,3,25,16,29-13-0,0,0,3569.0,1095.655899021463,1053.8606835435864,win,S-DEC,3,5:00
7247,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Donald Cerrone,155 lbs.,"6' 1""","73""","Mar 29, 1983",0.3953488372093023,1.5116279069767442,-0.046511627906976744,0.8372093023255814,0.6976744186046512,2,0,43,30,36-17-0 (2 NC),4,0,3955.0,1191.3600603109655,1060.3868213091407,Al Iaquinta,155 lbs.,"5' 10""","70""","Apr 30, 1987",0.5714285714285714,3.357142857142857,-0.5714285714285714,-0.2857142857142857,0.7142857142857143,1,0,14,10,14-7-1,3,0,2427.0,1111.5418701663493,1051.1177239113335,win,U-DEC,5,5:00
7248,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Macy Chiasson,135 lbs.,"5' 11""","72""","Jul 27, 1991",1,7,0,0.6666666666666666,1.0,3,0,3,3,9-3-0,2,2,955.0,1044.8178927233596,977.4602783044812,Sarah Moras,135 lbs.,"5' 7""","67""","Apr 30, 1988",-0.3333333333333333,-13.5,-1,0.5,0.5,0,2,6,3,6-8-0,0,0,2012.0,993.5659071088307,994.6907095416537,win,KO/TKO,2,2:22
7249,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Merab Dvalishvili,135 lbs.,"5' 6""","68""","Jan 10, 1991",0.25,14.75,7.75,-0.25,0.25,1,0,4,1,16-4-0,0,0,985.0,972.922317867955,1012.0123109050517,Brad Katona,135 lbs.,"5' 6""","64""","Dec 19, 1991",0,40.333333333333336,0,-0.3333333333333333,1.0,3,0,3,3,15-2-0,2,2,726.0,1044.637478187013,976.1977251111911,win,U-DEC,3,5:00
7250,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Vince Morales,135 lbs.,"5' 9""","70""","Nov 12, 1990",0.6666666666666666,11.666666666666666,-1.3333333333333333,-0.6666666666666666,0.0,0,3,3,0,11-7-0,0,0,1114.0,956.8785435072956,1034.589695786085,Aiemann Zahabi,135 lbs.,"5' 8""","68""","Nov 19, 1987",0.3333333333333333,-12,-2.3333333333333335,0,0.6666666666666666,0,1,3,2,10-2-0,0,0,1818.0,1015.8791927914644,1010.0221953982976,win,U-DEC,3,5:00
7251,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Kyle Nelson,145 lbs.,"5' 11""","71""","Apr 20, 1991",0,-34,-2,-1,0.0,0,2,2,0,14-5-1,0,0,969.0,973.6637416317009,1068.521397585067,Matt Sayles,155 lbs.,"5' 7""","68""","Feb 21, 1994",0.6666666666666666,22,0,0,0.6666666666666666,0,1,3,2,8-4-0,0,0,195.0,1011.8762582170964,981.4935116072492,loss,SUB,3,3:16
7252,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Andrew Sanchez,185 lbs.,"6' 1""","74""","Apr 08, 1988",0.14285714285714285,2.857142857142857,3,0,0.7142857142857143,2,0,7,5,13-7-0,2,2,2223.0,1042.0042202667153,998.663910375536,Marc-Andre Barriault,185 lbs.,"6' 1""","74""","Feb 18, 1990",0,-3,-2,0,0.0,0,1,1,0,16-6-0 (1 NC),0,0,1542.0,985.2526567379847,1042.0042202667153,win,U-DEC,3,5:00
7253,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Cole Smith,135 lbs.,"5' 11""","67""","Apr 05, 1989",-1,23,2,0,1.0,1,0,1,1,7-2-0,0,0,1861.0,1017.4973318360205,1015.1122354813149,Mitch Gagnon,135 lbs.,"5' 5""","65""","Oct 10, 1984",0.18181818181818182,8.454545454545455,-0.45454545454545453,0.8181818181818182,0.5454545454545454,0,3,11,6,12-5-0,0,0,3499.0,1015.1122354813149,1016.7411944658604,win,U-DEC,3,5:00
7254,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Serghei Spivac,260 lbs.,"6' 3""","78""","Jan 24, 1995",-1,-16,0,0,0.0,0,1,1,0,16-3-0,0,0,259.0,983.5571269002597,1006.8235487851522,Walt Harris,250 lbs.,"6' 5""","77""","Jun 10, 1983",0.6428571428571429,0.7857142857142857,-0.21428571428571427,0,0.42857142857142855,2,0,14,6,13-10-0 (1 NC),0,0,3987.0,1006.8235487851522,1011.3925668289885,loss,KO/TKO,1,0:50
7255,UFC Fight Night: Iaquinta vs. Cowboy,"May. 04, 2019",Nordine Taleb,170 lbs.,"6' 1""","74""","Jun 10, 1981",0,15.307692307692308,1.1538461538461537,-0.23076923076923078,0.6923076923076923,1,0,13,9,15-7-0,0,0,4717.0,1066.2545231316878,1021.3601322532332,Kyle Prepolec,170 lbs.,"5' 10""","70""","Aug 30, 1989",0,-38,0,0,0.0,0,1,1,0,12-7-0,0,0,1714.0,986.4067381859413,1066.2545231316878,win,U-DEC,3,5:00
7256,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Irene Aldana,135 lbs.,"5' 9""","68""","Mar 26, 1988",-0.4,-21,0.4,0,0.4,2,0,5,2,14-7-0,0,0,1998.0,989.0358379163148,999.3916679039127,Bethe Correia,135 lbs.,"5' 5""","64""","Jun 22, 1983",-0.2222222222222222,6.111111111111111,0.2222222222222222,-0.1111111111111111,0.5555555555555556,0,1,9,5,11-6-1,1,0,3289.0,1020.0331406716009,998.1092597700158,win,SUB,3,3:24
7257,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Jose Aldo,135 lbs.,"5' 7""","70""","Sep 09, 1986",0.36,9.32,0.2,0.12,0.88,2,0,25,22,31-8-0,14,11,2709.0,1220.616123112645,1060.9061531492946,Alexander Volkanovski,145 lbs.,"5' 6""","71""","Sep 29, 1988",0.375,42.75,2,0.375,1.0,8,0,8,8,26-2-0,0,0,1923.0,1120.6165507201829,1014.1067659409262,loss,U-DEC,3,5:00
7258,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Thiago Alves,170 lbs.,"5' 9""","70""","Oct 03, 1983",0.22580645161290322,3.5806451612903225,-0.9032258064516129,-0.25806451612903225,0.5806451612903226,1,0,31,18,23-15-0,1,0,3781.0,1054.4611674238788,1052.9229457376666,Laureano Staropoli,185 lbs.,"6' 1""","71""","Feb 27, 1993",0,28,0,0,1.0,2,0,2,2,9-5-0,0,0,269.0,1028.0764486074067,950.4229917077762,loss,U-DEC,3,5:00
7259,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Warlley Alves,170 lbs.,"5' 11""","72""","Jan 04, 1991",0.18181818181818182,-9.545454545454545,0.8181818181818182,0.5454545454545454,0.7272727272727273,0,1,11,8,15-6-0,2,2,970.0,1066.2495668533716,1017.2420512408637,Sergio Moraes,170 lbs.,"6' 0""","72""","Jul 23, 1982",-0.47058823529411764,-8.235294117647058,1.0588235294117647,0.4117647058823529,0.6470588235294118,0,1,17,11,14-6-1,2,0,4253.0,1093.9054376711504,1016.997326208361,win,KO/TKO,3,4:13
7260,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Jessica Andrade,115 lbs.,"5' 1""","62""","Sep 25, 1991",0.0625,13.3125,1.375,-0.0625,0.6875,3,0,16,11,24-12-0,1,0,720.0,1100.7910100318634,1026.2743904301046,Rose Namajunas,115 lbs.,"5' 5""","65""","Jun 29, 1992",0.2222222222222222,-1.5555555555555556,0.6666666666666666,0.4444444444444444,0.6666666666666666,3,0,9,6,12-5-0,4,2,288.0,1069.3529709285854,1051.7363076933284,win,KO/TKO,2,2:58
7261,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Talita Bernardo,135 lbs.,"5' 4""","68""","Mar 04, 1987",-0.2,-17.2,0.8,-1.4,0.2,0,1,5,1,6-4-0,0,0,2631.0,958.7292063735815,1014.751065879984,Viviane Araujo,125 lbs.,"5' 4""","68""","Nov 21, 1986",1,15,3,0,1.0,1,0,1,1,11-5-0,0,0,2734.0,1014.7825282118316,958.7292063735815,loss,KO/TKO,3,0:48
7262,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Priscila Cachoeira,125 lbs.,"5' 7""","65""","Aug 19, 1988",0,-72.66666666666667,-2,-2,0.0,0,3,3,0,12-5-0,0,0,2041.0,957.2235389495562,1038.9113893788417,Luana Carolina,125 lbs.,"5' 6""","69""","Jun 11, 1993",0,39,0,1,1.0,2,0,2,2,9-4-0,0,0,68.0,1030.5304984710244,976.7347507644877,loss,U-DEC,3,5:00
7263,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Jared Cannonier,185 lbs.,"5' 11""","77""","Mar 16, 1984",-0.09090909090909091,11.363636363636363,-1.2727272727272727,-0.09090909090909091,0.5454545454545454,1,0,11,6,17-6-0,0,0,3525.0,1023.6750345069923,1019.9844436758773,Anderson Silva,185 lbs.,"6' 2""","77""","Apr 14, 1975",0.5208333333333334,12.208333333333334,-0.5208333333333334,0.25,0.7708333333333334,0,1,48,37,34-11-0 (1 NC),13,11,6882.0,1214.5929554681102,1052.7072043017602,win,KO/TKO,1,4:47
7264,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Clay Guida,155 lbs.,"5' 7""","70""","Dec 08, 1981",0.030303030303030304,2.5757575757575757,2.5757575757575757,-0.3333333333333333,0.6060606060606061,0,1,33,20,38-20-0,3,2,4207.0,1090.897657044081,1062.309034299732,BJ Penn,155 lbs.,"5' 9""","70""","Dec 13, 1978",0.22857142857142856,-2.2857142857142856,-0.17142857142857143,0.22857142857142856,0.5714285714285714,0,6,35,20,16-14-2,11,5,5501.0,1063.8641694015532,1082.0307129626367,win,U-DEC,3,5:00
7265,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Kurt Holobaugh,155 lbs.,"5' 11""","70""","Sep 08, 1986",0.125,10.875,-1.25,-0.875,0.0,0,6,8,0,21-7-0 (1 NC),0,0,2619.0,928.6533839466179,1046.752625864873,Thiago Moises,155 lbs.,"5' 9""","70""","Mar 23, 1995",1.3333333333333333,3.3333333333333335,-1.3333333333333333,0.6666666666666666,0.6666666666666666,0,1,3,2,17-6-0,0,0,492.0,1015.8502837298149,1009.1347508618277,loss,U-DEC,3,5:00
7266,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Carlos Huachin,135 lbs.,"5' 4""","67""","Jun 04, 1996",-1,-39,0,-1,0.0,0,1,1,0,10-5-1,0,0,749.0,986.549384029014,1069.2855436613409,Raoni Barcelos,135 lbs.,"5' 7""","67""","May 01, 1987",0.6,3.4,1.6,0.6,1.0,5,0,5,5,17-5-0,0,0,2573.0,1069.2855436613409,967.3593779453862,loss,KO/TKO,2,4:49
7267,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",Rogerio Nogueira,205 lbs.,"6' 2""","75""","Jun 02, 1976",0.3225806451612903,4.129032258064516,-0.6774193548387096,0.5806451612903226,0.7741935483870968,1,0,31,24,23-10-0,0,0,6327.0,1168.2818863579462,1051.119471597563,Ryan Spann,205 lbs.,"6' 5""","79""","Aug 24, 1991",0,1.2,-0.8,0.4,0.6,3,0,5,3,21-9-0,0,0,766.0,1017.1931117978177,990.3614432530976,loss,KO/TKO,1,2:07
7268,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Julio Arce,135 lbs.,"5' 7""","70""","Oct 27, 1989",-0.4,28.4,0,0.6,0.8,0,1,5,4,18-6-0,0,0,1474.0,1039.9454162483905,987.0131234088764,Julian Erosa,145 lbs.,"6' 1""","74""","Jul 31, 1989",-0.2857142857142857,-0.5714285714285714,-1,0.5714285714285714,0.5714285714285714,0,2,7,4,28-12-0,0,0,1688.0,1009.9934663759311,1002.1404589672986,win,KO/TKO,3,1:49
7269,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Antonio Carlos Junior,185 lbs.,"6' 2""","79""","Mar 16, 1990",0,2.272727272727273,2.272727272727273,0.5454545454545454,0.7272727272727273,5,0,11,8,11-5-0 (1 NC),2,2,1131.0,1089.975437040705,1010.9607571927456,Ian Heinisch,185 lbs.,"5' 11""","72""","Aug 05, 1988",0.3333333333333333,13,-2,0.6666666666666666,1.0,3,0,3,3,14-5-0,0,0,1936.0,1049.3364957917343,1008.920641154762,loss,U-DEC,3,5:00
7270,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Zak Cummings,205 lbs.,"6' 0""","75""","Aug 02, 1984",0.25,-5.916666666666667,-0.16666666666666666,-0.4166666666666667,0.5833333333333334,1,0,12,7,25-7-0,0,0,3428.0,1046.6190796003762,1032.5166171028802,Trevin Giles,170 lbs.,"6' 0""","74""","Aug 06, 1992",0.3333333333333333,41.333333333333336,2.6666666666666665,0,1.0,3,0,3,3,16-5-0,0,0,131.0,1045.9366833255826,985.2311192858248,win,SUB,3,4:01
7271,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Patrick Cummins,205 lbs.,"6' 2""","76""","Nov 16, 1980",-0.26666666666666666,8.333333333333334,1.4666666666666666,-0.06666666666666667,0.6,0,2,15,9,10-7-0,0,0,4734.0,1049.4211066847406,1051.0851081776207,Ed Herman,205 lbs.,"6' 1""","77""","Oct 02, 1980",0,1.2916666666666667,0.6666666666666666,-0.375,0.4166666666666667,0,3,24,10,27-16-0 (1 NC),2,0,4779.0,998.3464578598292,1042.1817232089313,loss,KO/TKO,1,3:39
7272,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Grant Dawson,155 lbs.,"5' 10""","72""","Feb 20, 1994",0,16.666666666666668,2,1.3333333333333333,1.0,3,0,3,3,20-1-1,0,0,23.0,1046.3114883108733,987.8209893016356,Michael Trizano,145 lbs.,"5' 11""","71""","Dec 31, 1991",0,18,-0.6666666666666666,1,1.0,3,0,3,3,11-3-0,2,2,686.0,1046.5304984710244,989.3333333333334,win,SUB,2,2:27
7273,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Rafael Dos Anjos,170 lbs.,"5' 8""","70""","Oct 26, 1984",0.1111111111111111,3.259259259259259,0.37037037037037035,0.5925925925925926,0.6296296296296297,0,2,27,17,32-15-0,4,2,3328.0,1142.9172274278797,1087.5192706516457,Kevin Lee,170 lbs.,"5' 9""","77""","Sep 04, 1992",-0.2,9.266666666666667,2,0.26666666666666666,0.6666666666666666,0,1,15,10,18-8-0,1,0,473.0,1092.7718416622934,1050.536335425647,win,SUB,4,3:47
7274,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Sijara Eubanks,125 lbs.,"5' 4""","67""","Apr 27, 1985",0.3333333333333333,27,2,0,1.0,3,0,3,3,8-7-0,0,0,3118.0,1041.764722472588,955.3580563393447,Aspen Ladd,135 lbs.,"5' 6""","66""","Mar 01, 1995",0,3.6666666666666665,0.6666666666666666,0,1.0,3,0,3,3,9-3-0,0,0,505.0,1043.6357140529901,969.3051756600271,loss,U-DEC,3,5:00
7275,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Charles Jourdain,145 lbs.,"5' 9""","69""","Nov 27, 1995",0,-23,-4,0,0.0,0,1,1,0,14-6-1,0,0,552.0,985.4572062396494,1046.2735527676048,Desmond Green,155 lbs.,"5' 10""","73""","Oct 11, 1989",0.125,15.875,0.625,-0.375,0.625,2,0,8,5,23-8-0,0,0,1686.0,1046.2735527676048,1053.578598720117,loss,U-DEC,3,5:00
7276,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Nik Lentz,145 lbs.,"5' 8""","68""","Aug 13, 1984",-0.08333333333333333,7.791666666666667,1.125,0.625,0.6666666666666666,2,0,24,16,30-12-2 (1 NC),0,0,3481.0,1120.7708765939908,1032.9085858719602,Charles Oliveira,155 lbs.,"5' 10""","74""","Oct 17, 1989",0,0.4166666666666667,0.625,0.9583333333333334,0.625,4,0,24,15,34-9-0 (1 NC),0,0,1575.0,1120.0072299453668,1056.6613670341285,loss,KO/TKO,2,2:11
7277,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Vicente Luque,170 lbs.,"5' 11""","75""","Nov 27, 1991",0.5,4,-1,0.5833333333333334,0.75,5,0,12,9,22-9-1,0,0,909.0,1096.3508708065958,1014.5576091515148,Derrick Krantz,170 lbs.,"5' 10""","72""","Jan 13, 1988",-1,-12,1,0,0.0,0,1,1,0,22-12-0,0,0,2323.0,987.8013049847966,1096.3508708065958,win,KO/TKO,1,3:52
7278,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Davi Ramos,155 lbs.,"5' 6""","70""","Nov 05, 1986",0,4.666666666666667,1.6666666666666667,0.5,0.6666666666666666,4,0,6,4,10-4-0,0,0,2757.0,1046.132785686831,1045.252981184731,Austin Hubbard,155 lbs.,"5' 10""","71""","Dec 22, 1991",0,-19,-3,0,0.0,0,1,1,0,16-7-0,0,0,884.0,985.4504695231011,1046.132785686831,win,U-DEC,3,5:00
7279,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Danny Roberts,170 lbs.,"6' 1""","74""","Jul 14, 1987",-0.18181818181818182,2.3636363636363638,-1.5454545454545454,-0.9090909090909091,0.6363636363636364,0,2,11,7,18-8-0,0,0,2506.0,1035.160464935433,1009.3146681598075,Michel Pereira,170 lbs.,"6' 1""","73""","Oct 06, 1993",1,4,0,0,1.0,1,0,1,1,28-11-0 (2 NC),0,0,230.0,1018.4494177248929,1035.160464935433,loss,KO/TKO,1,1:47
7280,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",Felicia Spencer,145 lbs.,"5' 6""","68""","Nov 29, 1990",0,19,1,1,1.0,1,0,1,1,9-3-0,0,0,1272.0,1015.5717012892655,975.1256879873481,Megan Anderson,145 lbs.,"6' 0""","72""","Feb 11, 1990",0,-15.25,-2.25,-0.75,0.25,0,1,4,1,11-5-0,0,0,1563.0,975.1256879873481,1032.224473304832,win,SUB,1,3:24
7281,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Makwan Amirkhani,145 lbs.,"5' 10""","72""","Nov 08, 1988",0,2.1666666666666665,1.5,0.16666666666666666,0.8333333333333334,1,0,6,5,17-9-0,0,0,1667.0,1055.9158681635463,990.9330530941274,Chris Fishgold,145 lbs.,"5' 8""","68""","Jun 06, 1992",-0.6666666666666666,-3.6666666666666665,2,0.6666666666666666,0.3333333333333333,1,0,3,1,18-4-1,0,0,633.0,987.7335540704835,1017.3808500707886,win,SUB,2,4:25
7282,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Danilo Belluardo,155 lbs.,"6' 0""","74""","Jul 21, 1994",0,-6,2,0,0.0,0,1,1,0,12-5-0,0,0,44.0,982.7191050267909,989.4069643528676,Joel Alvarez,155 lbs.,"6' 3""","77""","Mar 02, 1993",0,-15.333333333333334,-0.6666666666666666,0,0.3333333333333333,1,0,3,1,20-3-0,0,0,462.0,989.4069643528676,1028.7505529802586,loss,KO/TKO,2,2:22
7283,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Frank Camacho,155 lbs.,"5' 10""","73""","May 18, 1989",-0.4,-28.2,0,-0.2,0.2,0,2,5,1,22-10-0,0,0,1580.0,963.4246210336646,1043.0116451943593,Nick Hein,155 lbs.,"5' 6""","66""","Apr 24, 1984",0.1,-0.6,0.5,-0.1,0.7,0,2,10,7,14-5-0 (1 NC),0,0,3382.0,1045.431171829456,997.1422537413204,win,KO/TKO,2,4:56
7284,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Devin Clark,205 lbs.,"6' 0""","75""","Apr 12, 1990",0,2.142857142857143,1.8571428571428572,-0.2857142857142857,0.42857142857142855,0,1,7,3,14-8-0,0,0,1342.0,990.314686611474,1010.9358788918728,Darko Stosic,205 lbs.,"6' 0""","76""","Feb 09, 1992",0,5,0,0,1.0,2,0,2,2,13-4-0,0,0,535.0,1028.098837270235,950.6648044791061,win,U-DEC,3,5:00
7285,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Tonya Evinger,135 lbs.,"5' 7""","70""","Jun 04, 1981",-0.16666666666666666,-17.5,-1.1666666666666667,0,0.0,0,6,6,0,19-8-0 (1 NC),1,0,4513.0,930.3556688678784,1082.8606632277013,Lina Lansberg,135 lbs.,"5' 7""","65""","Mar 13, 1982",0,-21.875,-1.25,0,0.375,0,1,8,3,10-8-0,0,0,4231.0,981.8914349400029,1036.6633632791702,loss,U-DEC,3,5:00
7286,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Christos Giagos,155 lbs.,"5' 10""","71""","Jan 23, 1990",0,1.6666666666666667,-0.3333333333333333,-0.8333333333333334,0.3333333333333333,1,0,6,2,20-10-0,0,0,1414.0,978.2590883360618,1021.9602860657602,Damir Hadzovic,155 lbs.,"5' 9""","70""","Aug 08, 1986",0,1.5,-1.8333333333333333,0,0.5,2,0,6,3,14-7-0,0,0,2762.0,1018.5755475391154,1055.069003003334,win,U-DEC,3,5:00
7287,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Alexander Gustafsson,205 lbs.,"6' 5""","79""","Jan 15, 1987",0.5625,5.1875,0.6875,0.1875,0.6875,0,1,16,11,18-8-0,3,0,2546.0,1119.4804669748694,1102.7187067866678,Anthony Smith,205 lbs.,"6' 4""","76""","Jul 26, 1988",0.1111111111111111,-9.166666666666666,-0.7777777777777778,0.2222222222222222,0.6111111111111112,0,1,18,11,37-18-0,1,0,2051.0,1082.2914421543285,1043.5743422574665,loss,SUB,4,2:38
7288,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Sergey Khandozhko,170 lbs.,"6' 1""","74""","May 19, 1992",1,21,-1,0,1.0,1,0,1,1,28-6-1,0,0,749.0,1016.0,984.0,Rostem Akman,170 lbs.,"5' 10""","72""","Dec 19, 1991",-1,-21,1,0,0.0,0,1,1,0,6-2-0,0,0,901.0,984.0,1016.0,win,U-DEC,3,5:00
7289,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Jimi Manuwa,205 lbs.,"6' 1""","79""","Feb 18, 1980",-0.08333333333333333,-1.75,-0.6666666666666666,0.25,0.5833333333333334,0,3,12,7,17-6-0,0,0,5048.0,1037.8934769995853,1057.6652526362059,Aleksandar Rakic,205 lbs.,"6' 4""","78""","Feb 06, 1992",0.25,37,-0.25,0,1.0,4,0,4,4,14-3-0,0,0,677.0,1065.508295524446,1017.6488987685011,loss,KO/TKO,1,0:47
7290,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Stevie Ray,155 lbs.,"5' 10""","70""","Mar 25, 1990",0,12.7,-0.7,0.5,0.7,1,0,10,7,23-9-0,0,0,1318.0,1053.9335951954058,1013.2244323760426,Leonardo Santos,155 lbs.,"6' 0""","75""","Feb 05, 1980",0,-5,0.2857142857142857,0.42857142857142855,0.8571428571428571,6,0,7,6,18-7-1,2,2,4270.0,1089.0648227640509,1002.4064583990449,loss,KO/TKO,1,2:17
7291,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Duda Santana,145 lbs.,"5' 7""","73""","Jan 10, 1996",0,23,3,-2,0.0,0,1,1,0,3-1-0,0,0,582.0,984.0,1016.0,Bea Malecki,135 lbs.,"5' 9""","74""","Aug 23, 1991",0,-23,-3,2,1.0,1,0,1,1,4-1-0,0,0,1019.0,1016.0,984.0,loss,SUB,2,1:59
7292,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019",Daniel Teymur,145 lbs.,"5' 5""","69""","Feb 03, 1988",-0.4,-10.4,-1.2,-1.6,0.2,1,0,5,1,7-4-0,0,0,2316.0,960.3349242033794,1014.9283531637602,Sung Bin Jo,145 lbs.,"6' 0""","72""","Jul 17, 1992",0,-19,0,1,0.0,0,1,1,0,9-1-0,0,0,690.0,981.338933450337,960.3349242033794,win,U-DEC,3,5:00
