id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
24,UFC 3: The American Dream,"Sep. 09, 1994",Steve Jennum,215 lbs.,"5' 10""",--,--,0,4,1,-1,1.0,1,0,1,1,2-3-0,1,1,1825.0,1016.0,984.0,Harold Howard,240 lbs.,"6' 2""",--,--,0.5,1,-1,0.5,0.5,1,0,2,1,1-3-0,1,0,1825.0,1000.736306793522,999.631846603239,win,KO/TKO,1,1:27
25,UFC 3: The American Dream,"Sep. 09, 1994",Kimo Leopoldo,235 lbs.,"6' 3""",--,"Jan 05, 1968",0,4,1,-1,0.0,0,1,1,0,10-7-1,0,0,619.0,990.55152588428,1160.5741760553155,Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,-0.07692307692307693,0.5384615384615384,0.9230769230769231,1.0,13,0,13,13,15-2-3,3,3,1008.0,1160.5741760553155,987.341303765863,loss,SUB,1,4:40
26,UFC 3: The American Dream,"Sep. 09, 1994",Roland Payne,205 lbs.,"5' 9""",--,--,-1,-6,1,0,0.0,0,1,1,0,0-1-0,0,0,1825.0,983.263693206478,1000.736306793522,Harold Howard,240 lbs.,"6' 2""",--,--,0.3333333333333333,-0.6666666666666666,-1,0.6666666666666666,0.3333333333333333,0,1,3,1,1-3-0,2,0,1825.0,985.4387739660466,1010.187075344651,loss,KO/TKO,1,0:46
27,UFC 3: The American Dream,"Sep. 09, 1994",Ken Shamrock,205 lbs.,"6' 1""","72""","Feb 11, 1964",0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,4,0,6,4,28-17-2,0,0,2043.0,1036.9823243231353,1008.491398527355,Felix Lee Mitchell,--,--,--,--,0,-1,-1,-1,0.0,0,1,1,0,2-7-0,0,0,1825.0,985.0115023760129,1036.9823243231353,win,SUB,1,4:34
28,UFC 3: The American Dream,"Sep. 09, 1994",Ken Shamrock,205 lbs.,"6' 1""","72""","Feb 11, 1964",0,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.7142857142857143,5,0,7,5,28-17-2,0,0,2043.0,1050.6066718658758,1003.1907922853433,Christophe Leninger,200 lbs.,"6' 0""",--,--,0,-7,-1,0,0.0,0,1,1,0,3-4-0,0,0,1825.0,984.2893179656816,1021.9938266991483,win,KO/TKO,1,4:49
29,UFC 3: The American Dream,"Sep. 09, 1994",Emmanuel Yarborough,770 lbs.,"6' 8""",--,"Sep 05, 1960",-1,-33,0,0,0.0,0,1,1,0,1-2-0,0,0,3297.0,984.0,1016.0,Keith Hackney,200 lbs.,"5' 11""",--,--,1,33,0,0,1.0,1,0,1,1,2-2-0,0,0,1825.0,1016.0,984.0,loss,KO/TKO,1,1:59
<<<<<<< HEAD
30,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Eldo Xavier Dias,180 lbs.,"5' 11""",--,"Jul 16, 1964",0,0,0,0,0.0,0,1,1,0,0-1-0,0,0,1985.0,983.263693206478,1000.736306793522,Marcus Bossett,215 lbs.,"6' 1""",--,--,0,0.5,-0.5,-0.5,0.5,1,0,2,1,1-3-0,0,0,1825.0,1000.736306793522,999.631846603239,loss,KO/TKO,1,4:55
31,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,-0.35714285714285715,0.42857142857142855,0.9285714285714286,1.0,14,0,14,14,15-2-3,3,3,1008.0,1169.3147853615308,986.9462761095917,Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1,1,1,1.0,1,0,1,1,101-19-1,0,0,4215.0,1016.0,984.0,win,SUB,1,15:49
32,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,-0.6,0.3333333333333333,1.0666666666666667,1.0,15,0,15,15,15-2-3,4,4,1106.0,1178.6795680650819,988.2588721887155,Keith Hackney,200 lbs.,"5' 11""",--,--,1,33,0,0,1.0,2,0,2,2,2-2-0,0,0,1825.0,1030.5304984710244,976.7347507644877,win,SUB,1,5:32
