Fighter,oppelo,wins,losses,dob,totalfights,elo,losestreak,winstreak,titlewins,KD,Sig. str.,Total str.,Td,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,Sig. str.%,Total str.%,Td%,Sig. str%,Head%,Body%,Leg%,Distance%,Clinch%,Ground%
Robbie Lawler,5958227.300959038,15,10,1982,25,1077.8034792798828,0,1,3,1145.0,-147744.0,-171037.0,-9228.0,-771.0,753.0,-10934.650000000001,-147744.0,-76868.0,-26443.0,-44433.0,-157033.0,-130.0,9419.0,824.3310254867374,621.5370593752332,-469.04467787114845,824.3310254867374,906.1976846760913,252.525279716485,164.13222703222704,579.8306118070426,893.7839174986312,259.5247493734337
Kristian Rothaermel,984.0,0,1,1972,1,983.263693206478,1,0,0,0.0,-7.0,2.0,-4.0,-3.0,0.0,-2.8,-7.0,-8.0,0.0,1.0,1.0,1.0,-9.0,-0.08823529411764708,0.2334096109839816,-1.0,-0.08823529411764708,-0.22916666666666669,0.0,0.0,0.25,0.5,-0.6923076923076923
Nick Aguirre,4985.096289469204,0,2,1996,2,968.0819042370052,2,0,0,0.0,-125.0,-238.0,4.0,-5.0,0.0,0.41666666666666785,-125.0,-87.0,-21.0,-17.0,-42.0,-5.0,-78.0,-0.6813002387919147,-0.4217035542512433,0.13333333333333341,-0.6813002387919147,-0.5713185365359279,-0.1000000000000002,-4.9,0.26305916305916327,-0.16666666666666663,-3.128205128205128
Jason Black,4952.0,0,2,1972,2,968.7023986633528,2,0,0,-4.0,-147.0,-392.0,-14.0,28.0,5.0,-52.15,-147.0,-134.0,-13.0,0.0,-26.0,-8.0,-113.0,-1.0220700152207,-0.046953781512604875,-4.5,-1.0220700152207,-1.2442067736185387,-1.0,0.0,-1.9393939393939394,-1.0,1.0153846153846153
Joe Veres,5000.0,0,2,1977,2,968.736306793522,2,0,0,-1.0,-119.0,-267.0,0.0,0.0,0.0,-12.433333333333332,-119.0,-79.0,-40.0,0.0,-21.0,-16.0,-82.0,-3.65,-4.134615384615385,0.0,-3.65,-3.283333333333333,-4.0,0.0,-2.666666666666667,-3.2,-4.144927536231884
Cesar Arzamendia,4939.165187703896,0,2,1991,2,968.0364405071099,2,0,0,-9.0,-14.0,-24.0,3.0,4.0,0.0,-2.033333333333333,-14.0,-38.0,22.0,2.0,28.0,8.0,-50.0,0.4485258650756547,0.3538647342995171,0.75,0.4485258650756547,-0.025974025974025844,0.30303030303030304,1.0,0.8055171373249179,1.0,-3.526315789473684
Terrence Mitchell,5023.588901294879,0,2,1989,2,970.036250401476,2,0,0,-4.0,-63.0,-69.0,-1.0,-1.0,-1.0,-1.65,-63.0,-60.0,-3.0,0.0,0.0,-6.0,-57.0,-1.2707706766917293,-1.2482636209291558,-0.5,-1.2707706766917293,-1.3223864258347016,-1.0,0.0,-0.9186602870813396,-2.0,-2.1715686274509807
Miranda Maverick,205064.09685804666,5,3,1997,8,1029.4361912270144,0,1,0,0.0,2622.0,9205.0,315.0,105.0,0.0,441.55,2622.0,641.0,866.0,1115.0,1140.0,-132.0,1614.0,23.039747875090256,33.55758137125962,3.619047619047617,23.039747875090256,16.76129464755234,21.705916305916304,26.816071428571433,13.127555119163807,108.41111111111111,3.2694179894179882
Jorge Santiago,93975.18534107493,1,5,1980,6,945.7447399936177,5,0,0,-44.0,-780.0,-2912.0,-180.0,9.0,9.0,-457.6333333333334,-780.0,-895.0,530.0,-415.0,-199.0,472.0,-1053.0,-9.955781953942834,-15.36599232192882,-28.590909090909093,-9.955781953942834,-12.117826920006483,5.98095238095238,-5.708333333333334,-6.767160906726124,-3.5238095238095255,-12.763975155279503
Shane Howell,4981.028092640228,0,2,1983,2,967.9988754206115,2,0,0,0.0,-82.0,-356.0,-13.0,-10.0,4.0,-40.483333333333334,-82.0,-69.0,16.0,-29.0,-26.0,-4.0,-52.0,-1.5619369369369367,-1.6010760401721664,-4.0,-1.5619369369369367,-1.62,0.9142857142857146,-1.6363636363636362,-1.1678773204196933,-4.0,-1.9294117647058822
Chris Kelades,30601.31525137624,2,2,1981,4,1001.1875510903884,1,0,0,0.0,-425.0,-228.0,-46.0,-15.0,-21.0,-120.48333333333333,-425.0,-596.0,167.0,4.0,-398.0,75.0,-102.0,-4.6997030437841545,-2.187457070394109,-7.847619047619048,-4.6997030437841545,-5.7100752015261556,0.37107474568774856,0.29761904761904656,-4.829936676798379,0.7172202797202798,-4.202361595044521
Farid Basharat,4999.655980145315,2,0,1997,2,1031.2488263789471,0,2,0,0.0,0.0,-15.0,10.0,3.0,-1.0,13.833333333333334,0.0,9.0,2.0,-11.0,-10.0,-3.0,13.0,-0.6223290598290601,-0.9623845519391652,1.9333333333333336,-0.6223290598290601,-0.11018685955394836,0.07352941176470584,-3.611111111111111,-3.007977071889181,-0.07499999999999996,-1.0
Kazuhiro Nakamura,4977.275200154065,0,2,1979,2,969.5292377322426,2,0,0,-4.0,-135.0,-199.0,0.0,-1.0,0.0,-7.55,-135.0,-54.0,-25.0,-56.0,-70.0,-36.0,-29.0,-1.5200371905384746,-1.5860493077336337,-0.4666666666666666,-1.5200371905384746,-1.208345812119397,-0.12962962962962954,-3.888888888888889,-1.4984797810884767,-4.208403361344538,-4.65625
Michael Morales,31516.48307622814,4,0,1999,4,1065.785115963656,0,4,0,9.0,850.0,834.0,4.0,-1.0,1.0,-21.099999999999998,850.0,659.0,-124.0,315.0,741.0,67.0,42.0,1.1343850731100833,1.0169070246358323,8.25,1.1343850731100833,1.3686416843607667,-4.380027652086476,5.359029206088028,0.8858724864397177,-5.558288770053475,4.777777777777778
Piotr Hallmann,93004.34937879625,2,4,1987,6,973.0569205841831,3,0,0,-37.0,616.0,4159.0,38.0,10.0,0.0,71.69999999999997,616.0,-294.0,572.0,338.0,-50.0,296.0,370.0,9.627853396967524,19.510284594374397,22.749999999999996,9.627853396967524,7.479804797762698,-2.402523050620872,-29.230986557302348,7.655967526180169,-0.24189685025598529,43.97115384615385
Dale Hartt,13865.178677734462,1,2,1979,3,983.9629959286523,1,0,0,0.0,-29.0,-145.0,0.0,-18.0,0.0,-18.4,-29.0,-44.0,-4.0,19.0,-6.0,0.0,-23.0,-0.028490338164251283,-2.222943158865319,5.333333333333334,-0.028490338164251283,-2.3388888888888886,1.3333333333333335,2.1787878787878783,0.3887923351158646,0.0,-7.583333333333333
Allan Nascimento,14159.26652924496,2,1,1991,3,1018.0782693800328,0,2,0,0.0,78.0,106.0,22.0,6.0,7.0,32.11666666666666,78.0,5.0,30.0,43.0,61.0,1.0,16.0,1.63571391330012,1.9505834309819012,5.7,1.63571391330012,0.18423423423423413,0.16666666666666607,10.5,2.185737225737226,-1.5,-0.3229813664596274
Mike Grundy,30142.57757835558,1,3,1987,4,970.3716561117648,3,0,0,1.0,-657.0,-711.0,59.0,-12.0,0.0,32.550000000000004,-657.0,-341.0,-142.0,-174.0,-621.0,-44.0,8.0,-0.2511244019138753,-0.201289402485949,10.283333333333335,-0.2511244019138753,0.2965088326882148,-1.006390977443609,-12.232142857142858,-0.4325081348016676,0.8181818181818182,4.8
Katsuhisa Fujii,5060.955486720794,1,1,1972,2,999.9649488016117,1,0,0,1.0,104.0,363.0,7.0,-4.0,0.0,33.21666666666667,104.0,95.0,3.0,6.0,15.0,4.0,85.0,0.7859631657541064,1.8018214936247723,2.333333333333333,0.7859631657541064,1.585231708182528,0.0,4.666666666666667,4.230994152046784,0.8,1.139344262295082
Dhiego Lima,526014.3258356757,4,7,1989,11,974.6950673389281,2,0,0,-146.0,-6637.0,-8312.0,-180.0,-34.0,-25.0,-520.0333333333333,-6637.0,-8365.0,-886.0,2614.0,-4309.0,-1628.0,-700.0,-42.33536903596072,-36.5841750563074,-13.282051282051281,-42.33536903596072,-60.833796596369226,149.64784038325934,49.323015873015876,-36.271021859637315,-51.53181818181818,-41.0811939268461
Clay Harvison,13957.150207261458,1,2,1980,3,982.7063869915173,2,0,0,-13.0,-101.0,-79.0,-6.0,-2.0,1.0,-13.483333333333334,-101.0,-120.0,-8.0,27.0,-18.0,-52.0,-31.0,0.17760717994362846,0.5129976806447392,0.65,0.17760717994362846,-2.312910292322057,1.6060606060606064,8.571428571428571,0.8367944664118592,-0.11325236167341424,-10.772893772893774
Barb Honchak,4844.469308262043,0,2,1979,2,965.9620069873835,2,0,0,0.0,-96.0,-250.0,-6.0,2.0,0.0,-24.71666666666667,-96.0,-102.0,1.0,5.0,28.0,0.0,-124.0,-0.3800402769968927,-0.8356435273447722,-5.0,-0.3800402769968927,-0.36364840240698365,-2.9,-0.022222222222222143,0.1886968439922152,0.0,-2.48
Daniel Teymur,54927.51919950876,1,4,1988,5,957.5488515157438,1,0,0,-1.0,-247.0,-590.0,-62.0,-65.0,0.0,-22.566666666666677,-247.0,-375.0,-142.0,270.0,75.0,-54.0,-268.0,-2.443530861643523,-1.1078031660081864,-6.833333333333332,-2.443530861643523,-2.3363734052020977,-15.822430566590741,-33.56060606060606,-3.3676873069779028,-29.18939393939394,-18.020144998370803
Joanne Wood,1526972.4458096563,8,8,1985,16,1001.6131177508796,0,1,0,-351.0,38754.0,49487.0,63.0,-613.0,100.0,-1829.2500000000005,38754.0,2391.0,8458.0,27905.0,34148.0,8408.0,-3802.0,55.96812313177315,27.00677719855156,-48.900000000000006,55.96812313177315,-28.380608706885965,62.83935707079705,124.94647124625212,78.31348704502078,-45.35167510508069,-180.97828087375302
Rick Davis,998.4983864194186,0,1,0,1,983.9308485696516,1,0,0,-1.0,-5.0,-5.0,0.0,0.0,0.0,-0.03333333333333333,-5.0,-5.0,0.0,0.0,-1.0,-4.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.37499999999999994,-0.6,0.0,0.2,-0.5,0.0
Byron Bloodworth,5128.012982715038,0,2,1983,2,970.1966711921424,2,0,0,-5.0,-142.0,-175.0,0.0,0.0,0.0,-12.900000000000002,-142.0,-82.0,-40.0,-20.0,1.0,-55.0,-88.0,0.002201821167338275,0.13254265501456503,0.0,0.002201821167338275,0.09301885727190576,-1.0666666666666664,0.08333333333333337,0.3956279809220985,-1.3333333333333333,-3.3333333333333335
Anton Zafir,4972.282273510587,0,2,1987,2,967.9706589586954,2,0,0,-1.0,2.0,34.0,5.0,0.0,-4.0,6.850000000000001,2.0,-13.0,7.0,8.0,9.0,8.0,-15.0,0.7784126984126984,1.1676773455377574,0.3333333333333333,0.7784126984126984,-0.5241758241758243,4.0,0.0,1.3272727272727274,4.214285714285714,-3.25
Mark Coleman,670605.1039649532,7,5,1964,12,1022.1252405560647,1,0,2,-264.0,-8725.0,-11488.0,1348.0,-551.0,-179.0,610.6666666666667,-8725.0,-4300.0,-1841.0,-2584.0,-6910.0,-3625.0,1810.0,-29.95168611712893,-20.16997367458216,40.01111111111112,-29.95168611712893,8.137175021677024,-7.076190476190462,-72.0,-55.84487552874279,-158.37375937055572,-63.735849244293775
Chris Clements,92856.88658905699,2,2,1976,6,1001.1891562560854,1,0,0,-30.0,-160.0,-1614.0,-341.0,22.0,0.0,-498.6,-160.0,-803.0,246.0,397.0,284.0,323.0,-767.0,-11.549828051961374,-14.239855993418054,-72.22222222222223,-11.549828051961374,-23.06478553821919,20.11031746031746,21.141176470588235,-7.612672612672613,-19.135064935064936,-30.52354312354312
Julio Paulino,5009.949350397368,0,2,1975,2,969.0520229844585,2,0,0,0.0,-42.0,-47.0,-22.0,0.0,-4.0,-34.766666666666666,-42.0,-34.0,2.0,-10.0,7.0,-7.0,-42.0,-1.1567132640986633,-0.5226230314313991,-3.2666666666666666,-1.1567132640986633,-1.3377699466883528,0.11428571428571432,-3.1944444444444446,-1.1047368421052632,0.09999999999999998,-1.15018315018315
Viktor Pesta,55289.93204520855,1,4,1990,5,955.4666002554567,3,0,0,-16.0,-438.0,282.0,87.0,-25.0,0.0,123.03333333333335,-438.0,-317.0,-38.0,-83.0,-324.0,-108.0,-6.0,-5.111125393779131,-1.61052277350305,29.803418803418804,-5.111125393779131,-2.721328668803817,10.290476190476191,-28.083333333333332,-5.347349489634592,-15.054112554112553,15.834259259259259
Hu Yaozong,13931.43504259147,0,3,1995,3,952.0161673453464,3,0,0,-4.0,-459.0,-588.0,-40.0,-54.0,-9.0,-70.16666666666667,-459.0,-588.0,11.0,118.0,-156.0,-11.0,-292.0,-3.4002595998048255,-3.4879954606897035,-5.5,-3.4002595998048255,-4.596735625853384,0.3103448275862064,-0.28985507246376796,-2.3812949085688673,8.393939393939394,-10.38095238095238
John Gunther,5085.606412660907,1,1,1985,2,1000.2487329783387,1,0,0,0.0,-44.0,-11.0,4.0,-5.0,0.0,4.133333333333333,-44.0,-23.0,-20.0,-1.0,-20.0,-9.0,-15.0,-2.013170690811536,-2.2142320085929112,-3.5789473684210527,-2.013170690811536,-3.062421185372005,-4.416666666666667,3.95,1.1975806451612903,-0.21904761904761905,-4.0
Rory Markham,14426.733025773805,1,2,1982,3,985.8660719810156,2,0,0,-12.0,-303.0,-483.0,0.0,0.0,0.0,-11.266666666666667,-303.0,-249.0,-8.0,-46.0,-137.0,0.0,-166.0,-4.686309523809523,-5.37202380952381,0.0,-4.686309523809523,-4.406459545089138,-3.5,-3.6666666666666665,-3.7665755297334247,-2.5000000000000004,-11.043478260869566
Xavier Foupa-Pokam,4918.90363823647,0,2,1982,2,967.3117332260391,2,0,0,-8.0,-40.0,-103.0,-5.0,-1.0,1.0,-8.566666666666666,-40.0,-49.0,6.0,3.0,1.0,-11.0,-30.0,-2.7096274794388,-2.8810340883093115,-0.8333333333333334,-2.7096274794388,-2.8859180035650622,0.20000000000000007,0.75,-2.5313725490196077,-3.761904761904762,-2.2916666666666665
Jared Rollins,1000,0,1,1977,1,984.0,1,0,0,1.0,11.0,-49.0,1.0,1.0,-1.0,-3.5166666666666666,11.0,13.0,-2.0,0.0,0.0,5.0,6.0,-0.03273809523809523,-0.11139986139986136,0.0,-0.03273809523809523,-0.015527950310559091,-1.0,0.0,-0.06060606060606061,0.8333333333333334,-0.06289308176100628
Cole Smith,14022.28457613861,1,2,1989,3,983.9549120565987,2,0,0,-10.0,-156.0,-169.0,-25.0,27.0,-5.0,-14.81666666666666,-156.0,-215.0,54.0,5.0,-62.0,-14.0,-80.0,-4.287277634646056,-3.2706420888825583,-2.8583333333333334,-4.287277634646056,-4.155777184714297,-6.823846153846153,-3.8919413919413923,-4.165050086494751,-2.5005411255411256,-2.223809523809524
Bubba Bush,13778.945227174088,0,1,1985,3,981.923339133305,1,0,0,-5.0,-866.0,-1298.0,9.0,-9.0,0.0,-20.516666666666666,-866.0,-821.0,-77.0,32.0,0.0,9.0,-875.0,-3.0877192982456148,-2.260925618964927,0.8999999999999998,-3.0877192982456148,-4.660679845708775,-5.0,7.7,2.638095238095238,9.0,-6.942577030812325
Forrest Petz,139349.23240762,2,5,1975,7,952.6814526356804,3,0,0,-69.0,-9.0,-334.0,-294.0,-136.0,34.0,-284.90000000000003,-9.0,-782.0,893.0,-120.0,436.0,444.0,-889.0,-26.020565488387653,-29.415139747771327,3.4807692307692317,-26.020565488387653,-29.795791964818623,-55.99131161236424,-9.76190476190476,-29.45706611996376,-23.850424192665574,-37.001754385964915
Martin Buday,54442.83892901079,4,1,1991,5,1039.0187336483718,1,0,0,1.0,-908.0,-418.0,16.0,16.0,0.0,-38.74999999999999,-908.0,-306.0,-489.0,-113.0,-789.0,57.0,-176.0,1.5139816339238519,4.615404245212876,16.0,1.5139816339238519,5.155272851363957,-17.489017275630545,-15.106060606060606,2.707938900011955,-5.992069327731091,-9.028571428571428
Ricardo Abreu,4933.054772825912,1,1,1984,2,998.4968829087939,1,0,0,2.0,-64.0,-37.0,12.0,1.0,0.0,12.716666666666667,-64.0,29.0,-49.0,-44.0,-89.0,16.0,9.0,-0.02529947116775555,0.1681755647272889,1.7142857142857142,-0.02529947116775555,0.3484631082640463,0.5821812596006144,-0.3761904761904763,-0.21393541197758065,1.4035087719298245,0.75
Carlos Huachin,5152.539012212172,0,2,1996,2,971.4707878535588,2,0,0,-5.0,-151.0,-186.0,-8.0,-1.0,0.0,-20.25,-151.0,-91.0,-9.0,-51.0,-44.0,0.0,-107.0,-1.260433054808519,-1.3149434788964751,-1.6,-1.260433054808519,-1.070891276864728,-1.9182051282051285,0.33333333333333337,-0.8044316415827796,-0.6666666666666667,-2.033333333333333
Daron Cruickshank,1025149.3358148979,6,6,1985,14,989.7135769980222,3,0,0,189.0,-3917.0,-6992.0,825.0,-1136.0,1.0,-1095.4833333333333,-3917.0,-1946.0,559.0,-2530.0,732.0,-242.0,-4407.0,-89.05271686771906,-94.31084258650473,-127.45000000000002,-89.05271686771906,-70.9627197350166,0.5128101260904145,-138.48218864468865,-68.22704050323776,-2.893229352347017,-94.7582578291274
CB Dollaway,2950333.050960593,11,9,1983,20,1027.022784523711,1,0,0,-448.0,-11337.0,9690.0,3005.0,-97.0,-23.0,3463.533333333333,-11337.0,-9599.0,81.0,-1819.0,-10823.0,4296.0,-4810.0,-209.28357832185688,-69.03059822467151,292.2380952380952,-209.28357832185688,-173.76030421480533,-338.6252192379194,339.54870129870125,-210.46277832555757,-682.2904761904762,-651.9785240624914
Steve Judson,4983.263693206478,0,2,0,2,968.0015544510899,2,0,0,-5.0,17.0,29.0,-1.0,0.0,0.0,-1.7166666666666666,17.0,21.0,-4.0,0.0,-5.0,22.0,0.0,-0.8206627680311891,-0.9275362318840576,-1.0,-0.8206627680311891,-0.7051282051282053,1.3333333333333335,0.0,-1.8,-0.7402597402597402,0.0
Ricky Turcios,13719.250845898845,2,1,1993,3,1013.8677014282805,0,1,0,-8.0,169.0,992.0,-49.0,9.0,27.0,6.416666666666665,169.0,296.0,-44.0,-83.0,-44.0,10.0,203.0,-0.7391268059739323,0.37192031298564676,-1.2916083916083911,-0.7391268059739323,0.11205484544829458,1.063492063492063,2.075,-1.2755174967778506,-4.894276094276095,0.7895848771028114
David Abbott,2124654.6565142474,8,10,0,18,965.4474793382174,4,0,0,-547.0,-3808.0,-10760.0,256.0,-1225.0,196.0,43.2833333333333,-3808.0,3864.0,-2503.0,-5169.0,-2883.0,-1915.0,990.0,-459.67055056384436,-266.85846439794125,-105.58333333333331,-459.67055056384436,-165.18593704872663,-577.556438791733,-594.6923076923077,-699.4949640119163,-286.908815041168,-98.33219675061787
Ian Heinisch,144993.13391797958,3,4,1988,7,995.319253177862,2,0,0,26.0,-820.0,-423.0,-247.0,74.0,-4.0,-219.74999999999997,-820.0,-1613.0,-445.0,1238.0,-561.0,-501.0,242.0,16.688893501974547,20.104182172529544,-61.1948051948052,16.688893501974547,4.311468431397952,-7.105550183811056,60.05561829474873,22.225538560647696,-33.491341991342,20.324329501915713
Greg Hardy,519489.08000931295,4,5,1988,11,986.5438540533686,3,0,0,-36.0,2021.0,2302.0,-381.0,-1.0,0.0,-79.56666666666668,2021.0,535.0,5.0,1481.0,2976.0,419.0,-1374.0,25.93968157157027,22.851413853517553,-47.333333333333336,25.93968157157027,15.908442093986057,192.59049513704687,94.13869493080021,87.29603774534431,99.35714285714286,-212.759649122807
Junior Dos Santos,4628162.996532377,15,8,1984,23,1073.6179584950996,4,0,2,-733.0,468.0,-23105.0,-1207.0,0.0,0.0,-4520.633333333333,468.0,-6410.0,39575.0,-32697.0,26502.0,-17149.0,-8885.0,-60.06914533936623,-33.74615210343583,250.7905982905983,-60.06914533936623,-131.39217235530612,-147.43234946390115,-956.1722437888199,93.69931378028954,-1327.9304764462,-867.1494190249044
Vitor Miranda,140816.37459874953,3,4,1979,7,984.463842976663,3,0,0,0.0,-1725.0,-3242.0,-39.0,44.0,0.0,-258.5666666666666,-1725.0,-2206.0,-75.0,556.0,-1836.0,316.0,-205.0,0.06659438094367909,5.624337576388076,-39.67857142857143,0.06659438094367909,-3.1871649970554734,-35.36652236652236,-22.22772785622594,-3.279719526199996,29.54532967032967,-70.08792372881356
Maria Oliveira,29569.017621936964,1,3,1996,4,967.4086773878612,2,0,0,-9.0,-452.0,-1419.0,-7.0,0.0,0.0,-42.716666666666676,-452.0,-361.0,1.0,-92.0,350.0,-357.0,-445.0,-4.401528473224215,-5.743717230108056,-7.221212121212121,-4.401528473224215,-4.632373938484955,-4.501715916933309,1.8425770308123242,-1.135023321725975,4.440892098500626e-16,-8.427631578947368
Ricky Simon,536944.1105368005,8,3,1992,11,1081.4707033776801,1,0,0,-60.0,-1950.0,3170.0,1760.0,214.0,-35.0,1925.3666666666668,-1950.0,1028.0,-2127.0,-851.0,-3250.0,815.0,485.0,57.07065727873245,66.88624516935725,181.25263347763348,57.07065727873245,68.61510738714077,69.87629410063622,117.61011211011213,32.94055641120785,-97.35403726708074,262.287268166616
Cindy Dandois,1027.1866203922098,0,1,1984,1,985.2494410821168,1,0,0,0.0,-4.0,-15.0,5.0,-2.0,-1.0,3.9333333333333336,-4.0,13.0,-11.0,-6.0,-7.0,-1.0,4.0,-0.0927163381222853,-0.1272602201257862,0.5555555555555556,-0.0927163381222853,0.03336363636363637,-0.059523809523809534,-0.39010989010989017,-0.09092442645074228,-0.5555555555555556,0.08571428571428574
Jason Lambert,207081.30829113373,4,4,1975,8,995.1479787950818,3,0,0,-132.0,347.0,-1621.0,-225.0,-47.0,0.0,-328.6666666666667,347.0,-346.0,563.0,130.0,-424.0,277.0,494.0,-19.380311955505398,-34.543291672627355,-49.9,-19.380311955505398,-28.700424194541842,105.79949494949496,45.666666666666664,2.728848636743372,37.93459595959595,-96.0425806451613
Gian Villante,2126069.317009236,7,11,1985,18,946.2850671394928,4,0,0,-580.0,-20376.0,-17895.0,-446.0,-288.0,0.0,-9.099999999999898,-20376.0,-12116.0,1486.0,-9746.0,-21906.0,-2043.0,3573.0,-28.767463806287076,-30.342858492889764,-51.41666666666666,-28.767463806287076,-18.151678031728576,-140.34975750235202,183.16828572595958,-58.05822224576202,-412.75568846358317,69.94815233785823
Logan Clark,1000,1,0,1985,1,1016.0,0,1,0,0.0,22.0,138.0,-3.0,-2.0,0.0,-5.15,22.0,11.0,9.0,2.0,1.0,11.0,10.0,0.21298701298701306,0.1324914383561644,-0.6,0.21298701298701306,0.19015151515151518,-0.15384615384615385,1.0,0.0,-0.36363636363636365,0.40613026819923365
Azamat Murzakanov,14500.489781449513,3,0,1989,3,1049.308522116375,0,3,0,14.0,272.0,-32.0,1.0,0.0,0.0,-12.15,272.0,294.0,134.0,-156.0,71.0,17.0,184.0,2.2223155209713106,0.7089185873154034,0.5000000000000002,2.2223155209713106,2.9129322731571334,3.9858357873063763,2.7499999999999996,1.671643904175101,0.39999999999999947,3.3454545454545452
Pete Rodriguez,5003.192108253902,1,1,1996,2,1000.7729755285798,0,1,0,3.0,30.0,42.0,0.0,0.0,0.0,0.9833333333333333,30.0,-10.0,25.0,15.0,1.0,20.0,9.0,-0.16854535695115408,-0.25187869028448756,0.0,-0.16854535695115408,-0.6259294575298278,-0.4047619047619048,4.875,-0.24573976747889797,-1.0,2.0
Seth Baczynski,513479.68065335014,5,6,1981,11,984.049234475102,3,0,0,-241.0,-2660.0,-6588.0,-136.0,16.0,-10.0,34.98333333333333,-2660.0,1354.0,-64.0,-3950.0,-802.0,-1363.0,-495.0,-188.58980692544174,-203.52938185468128,-53.56926406926408,-188.58980692544174,-159.95330680692263,-86.43323080428345,-96.18195339143615,-172.9468780522247,-21.798557923557922,-185.8822954822955
Michel Pereira,299228.91763979814,7,2,1993,9,1085.0154621586792,0,6,0,91.0,5313.0,4439.0,185.0,73.0,0.0,22.216666666666654,5313.0,81.0,5559.0,-327.0,4118.0,776.0,419.0,54.617002688296296,51.43721450476846,65.85,54.617002688296296,40.56591722034942,102.50726060942873,44.0920060331825,53.116777958892825,21.677422577422576,-5.309803921568623
John Howard,1036654.118843926,7,7,1983,14,994.063493529871,1,0,0,-267.0,-12234.0,-9244.0,489.0,-261.0,-210.0,-124.76666666666665,-12234.0,-5103.0,-7670.0,539.0,-7284.0,-1433.0,-3517.0,15.223830108320605,23.321529670134346,141.54653679653677,15.223830108320605,-65.04415522152392,-153.82246690701803,49.79318595341781,69.803832689719,-60.98838204680309,-224.39290851234585
Guilherme Vasconcelos,984.7719300452638,0,1,1986,1,983.2991701839942,1,0,0,0.0,-17.0,-17.0,-1.0,0.0,0.0,-0.016666666666666666,-17.0,-20.0,1.0,2.0,-18.0,1.0,0.0,0.0031453246614777663,0.0031453246614777663,-1.0,0.0031453246614777663,-0.02420957542908761,-0.25358851674641153,0.016666666666666607,-0.003281198731269863,0.5,0.0
Mickey Gall,512942.2604602562,6,5,1992,11,1006.8635476256046,2,0,0,-284.0,-7412.0,-8060.0,-7.0,255.0,161.0,-439.71666666666675,-7412.0,-5063.0,-1302.0,-1047.0,-3653.0,293.0,-4052.0,-22.468317076294515,-35.44409424946684,9.5,-22.468317076294515,-2.6190132522744456,-143.24404761904762,-180.0,-11.963699248660099,31.138661338661343,-181.6125281824119
Rafael Estevam,984.0785927570774,1,0,1996,1,1015.2673049093424,0,1,0,0.0,-54.0,-81.0,3.0,1.0,-1.0,8.666666666666666,-54.0,-28.0,-21.0,-5.0,-42.0,-15.0,3.0,-0.24194580755280565,-0.2659514398644834,0.13636363636363635,-0.24194580755280565,-0.19358178053830227,-0.31818181818181823,-0.33333333333333337,-0.3076612903225806,-0.09230769230769231,0.23809523809523808
Jamall Emmers,91019.05170364937,3,3,1989,6,1003.2247334673815,0,1,0,36.0,1063.0,879.0,38.0,-9.0,17.0,193.5,1063.0,511.0,479.0,73.0,644.0,131.0,288.0,14.892715233887076,13.865043523668916,-12.309523809523812,14.892715233887076,26.249445746548133,-14.277721769712617,11.046200040956856,14.165046466275266,2.2450980392156863,45.57234432234432
Sage Northcutt,203892.43532462703,6,2,1996,8,1055.8514793807028,0,3,0,0.0,4191.0,6564.0,-152.0,-145.0,16.0,-552.8666666666668,4191.0,2772.0,1383.0,36.0,2029.0,1414.0,748.0,29.045018758307677,17.525646814239927,-1.75555555555556,29.045018758307677,21.41397954421247,70.4078431372549,38.58916297117516,-3.3989513779003264,107.9783177606707,34.24444444444445
Romie Aram,1000,0,1,1977,1,984.0,1,0,0,1.0,-36.0,-29.0,1.0,0.0,0.0,0.16666666666666696,-36.0,-25.0,-11.0,0.0,-12.0,-3.0,-21.0,-0.13714285714285712,0.016045454545454585,0.0,-0.13714285714285712,-0.12466240227434255,0.33333333333333337,0.0,-0.12969924812030076,0.011312217194570151,-0.18571428571428572
Tai Tuivasa,1083698.7920333722,8,6,1993,14,1037.7507006450246,3,0,0,-150.0,-25435.0,-27727.0,-508.0,-232.0,0.0,-377.3833333333334,-25435.0,-21778.0,-5422.0,1765.0,-21931.0,2205.0,-5709.0,-123.3184114121426,-118.91536195950346,-112.5,-123.3184114121426,-175.22141682012554,-8.052533577533566,-102.36598258932355,-98.05108242517693,33.813161021984556,-288.18851851851855
Mike Davis,29967.03700418416,3,1,0,4,1033.4796682184972,0,3,0,8.0,119.0,227.0,167.0,15.0,-16.0,126.93333333333334,119.0,296.0,194.0,-371.0,-568.0,23.0,664.0,1.390806116950393,1.5003330975465285,17.340909090909093,1.390806116950393,3.375344955081105,-0.043769006995274085,-3.7539215686274505,-0.8524419640174838,17.4972582972583,11.477977201067183
Justin McCully,30244.503995296865,2,2,1976,4,1000.9583834067624,1,0,0,0.0,-199.0,-678.0,-120.0,-37.0,0.0,-127.0,-199.0,-114.0,-149.0,64.0,97.0,20.0,-316.0,-8.316909737771807,-7.520146721196648,-12.786363636363637,-8.316909737771807,-6.267676767676768,-22.54871794871795,3.604166666666666,-4.569092307866364,9.483087027914614,-21.633333333333333
