Fighter,oppelo,wins,losses,dob,totalfights,elo,losestreak,winstreak,titlewins,KD,Sig. str.,Total str.,Td,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,Sig. str.%,Total str.%,Td%,Sig. str%,Head%,Body%,Leg%,Distance%,Clinch%,Ground%
Hector Sandoval,29970.673618568664,2,2,1986,4,1001.1345096762502,1,0,0,-16.0,77.0,189.0,23.0,-2.0,1.0,16.433333333333334,77.0,66.0,27.0,-16.0,-48.0,99.0,26.0,-7.13006294786017,-7.127546260721238,-5.558333333333334,-7.13006294786017,-6.1148825753942555,-12.52781954887218,-0.4000000000000008,-5.884843372700305,0.3808695652173919,-8.5
Ivan Serati,984.7392538515074,0,1,0,1,983.2976682829562,1,0,0,0.0,-11.0,-12.0,-1.0,0.0,0.0,-0.6333333333333333,-11.0,-9.0,-1.0,-1.0,-4.0,0.0,-7.0,-0.36363636363636365,-0.3589743589743589,-1.0,-0.36363636363636365,-0.37894736842105264,-1.0,0.0,-0.375,-0.11428571428571432,-0.7777777777777778
Phil Baroni,393505.7006365275,3,7,1976,10,945.9986363406907,6,0,0,92.0,-10494.0,-10684.0,-106.0,-15.0,-85.0,-654.4333333333333,-10494.0,-3944.0,-3395.0,-3155.0,-5644.0,-3751.0,-1099.0,-36.29020577547754,-12.77935868022378,12.529914529914528,-36.29020577547754,-33.0638987055236,-26.270561543574235,-195.78720238095238,-83.11153228579698,-40.144224979951474,-16.1572056082892
Joseph Benavidez,3493461.335237273,15,6,1984,21,1098.0049297953412,3,0,0,-678.0,17758.0,26204.0,-1934.0,-1839.0,370.0,738.3499999999995,17758.0,-9059.0,6406.0,20411.0,27673.0,-3691.0,-6224.0,-274.14958156756495,-193.49771679579771,-867.7725281340606,-274.14958156756495,-359.842428951662,-208.4486088705238,903.2638314660915,-143.48161973963158,-526.524900159022,-350.0230158730159
John Hathaway,296415.3320513391,7,2,1987,9,1070.747047656172,1,0,0,-97.0,4320.0,15367.0,-42.0,102.0,-44.0,323.66666666666663,4320.0,2622.0,1097.0,601.0,3007.0,311.0,1002.0,-4.733386721456822,4.664303846847366,-8.396336996336995,-4.733386721456822,-6.635548813264038,15.872675874849797,43.930341880341885,-2.8523584618439646,67.18722101995759,-40.71974491728248
Rich Franklin,2964365.054631699,14,6,1974,20,1084.6541916870647,1,0,3,-476.0,46538.0,23395.0,-2022.0,-471.0,155.0,-1993.55,46538.0,29709.0,15434.0,1395.0,52523.0,-1042.0,-4943.0,105.87284938385432,-20.668444592104454,-371.95887445887445,105.87284938385432,26.963979301959128,243.1541039066177,399.41273054430945,205.35562525834388,34.57504917621111,-393.0805782031589
James Vick,1060840.9232415757,9,5,1987,14,1046.2677332182632,4,0,0,-327.0,5037.0,4464.0,-495.0,64.0,13.0,-306.2833333333333,5037.0,802.0,4902.0,-667.0,6590.0,-375.0,-1178.0,-22.826900561626523,-24.445262890845214,-136.4,-22.826900561626523,-79.4181606613156,223.09603576248313,126.52675824175823,29.228516930635337,63.25757575757575,-137.23992673992672
Denys Bondar,4984.147926092047,0,2,1992,2,968.127288222688,2,0,0,0.0,-103.0,-106.0,0.0,-1.0,-1.0,-0.3666666666666665,-103.0,-201.0,68.0,30.0,-39.0,-40.0,-24.0,0.5644350600169838,0.45610498288322543,0.4571428571428573,0.5644350600169838,-0.016722927094246054,0.22910216718266252,0.6363636363636362,0.7669338371986714,-1.6666666666666665,0.0
Mateusz Rebecki,14146.568246527888,3,0,1992,3,1046.9503450875447,0,3,0,8.0,267.0,456.0,24.0,13.0,-9.0,33.63333333333333,267.0,114.0,56.0,97.0,184.0,-1.0,84.0,4.074724670098185,3.161442714679789,13.416666666666668,4.074724670098185,4.397497772644778,0.014797603032897344,1.8499999999999996,1.4140205732304103,-0.15555555555555556,8.956521739130435
John Maguire,55482.01703683866,2,3,1983,5,985.1499026481232,3,0,0,-1.0,-1067.0,-2698.0,77.0,33.0,-28.0,69.09999999999998,-1067.0,-89.0,-190.0,-788.0,-545.0,-399.0,-123.0,1.820374395562836,1.8357423297763908,9.88095238095238,1.820374395562836,5.126284411891919,3.4661446396740487,-16.324603174603176,1.0531409175642785,-14.338095238095237,7.110161768056504
